#  aims_uuid : 388BC64A-2B51-4D13-AD00-6382D47B5BC3                                
#  angular momentum projected density of states for species Si as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -20.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.93311037        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.86622074        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.79933110        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.73244147        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.66555184        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.59866221        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.53177258        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.46488294        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.39799331        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.33110368        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.26421405        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.19732441        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.13043478        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.06354515        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.99665552        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.92976589        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.86287625        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.79598662        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.72909699        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.66220736        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.59531773        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.52842809        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.46153846        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.39464883        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.32775920        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.26086957        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.19397993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.12709030        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -18.06020067        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -17.99331104        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -17.92642140        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -17.85953177        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -17.79264214        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -17.72575251        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -17.65886288        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -17.59197324        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -17.52508361        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -17.45819398        0.00002073        0.00002058       -0.00000000        0.00000000        0.00000015
      -17.39130435        0.02939800        0.02929183       -0.00011054        0.00000591        0.00021081
      -17.32441472        0.11448978        0.11449973       -0.00084959        0.00004539        0.00079425
      -17.25752508        0.13368369        0.13381653       -0.00112643        0.00009044        0.00090316
      -17.19063545        0.15864097        0.15832858       -0.00091823        0.00017502        0.00105560
      -17.12374582        0.18669086        0.18567335       -0.00049715        0.00028995        0.00122471
      -17.05685619        0.21673604        0.21474821        0.00014759        0.00043779        0.00140244
      -16.98996656        0.24456402        0.24136865        0.00102145        0.00061236        0.00156156
      -16.92307692        0.25995600        0.25544671        0.00207981        0.00078915        0.00164033
      -16.85618729        0.26736251        0.26143215        0.00328178        0.00097658        0.00167199
      -16.78929766        0.28465838        0.27688417        0.00477331        0.00123354        0.00176736
      -16.72240803        0.30298186        0.29313339        0.00644990        0.00152992        0.00186865
      -16.65551839        0.32172925        0.30958467        0.00830830        0.00186443        0.00197185
      -16.58862876        0.34091868        0.32625137        0.01035215        0.00223830        0.00207685
      -16.52173913        0.36068053        0.34325191        0.01259061        0.00265374        0.00218427
      -16.45484950        0.37547356        0.35530770        0.01483649        0.00306837        0.00226100
      -16.38795987        0.38829746        0.36536246        0.01709283        0.00351300        0.00232916
      -16.32107023        0.40245694        0.37655385        0.01948471        0.00401059        0.00240778
      -16.25418060        0.41667068        0.38767871        0.02194907        0.00455362        0.00248928
      -16.18729097        0.43129290        0.39907666        0.02449078        0.00514952        0.00257594
      -16.12040134        0.44728000        0.41163251        0.02715996        0.00581446        0.00267307
      -16.05351171        0.46450029        0.42520714        0.02996283        0.00655109        0.00277923
      -15.98662207        0.48289660        0.43972004        0.03292271        0.00736027        0.00289358
      -15.91973244        0.50180738        0.45456792        0.03598885        0.00823841        0.00301220
      -15.85284281        0.52123262        0.46974720        0.03916125        0.00918909        0.00313508
