#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species H as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1
      -10.00000000        8.50031435        8.37746896        0.12284538
       -9.98330551      316.05181420      311.45529227        4.59652193
       -9.96661102       23.63185848       23.28965284        0.34220564
       -9.94991653       62.78215447       61.88214470        0.90000977
       -9.93322204       48.35794691       47.63454641        0.72340049
       -9.91652755        3.71447906        3.65897555        0.05550351
       -9.89983306        2.40165132        2.36554932        0.03610199
       -9.88313856        1.51638870        1.49328151        0.02310718
       -9.86644407        0.97149218        0.95655702        0.01493515
       -9.84974958        0.67668749        0.66613391        0.01055358
       -9.83305509        0.49025608        0.48244466        0.00781142
       -9.81636060        0.34560167        0.34002235        0.00557932
       -9.79966611        0.25303168        0.24882178        0.00420990
       -9.78297162        0.17591276        0.17286653        0.00304623
       -9.76627713        0.11257797        0.11053529        0.00204268
       -9.74958264        0.07223216        0.07081777        0.00141439
       -9.73288815        0.04151437        0.04059054        0.00092383
       -9.71619366        0.02453290        0.02382653        0.00070637
       -9.69949917        0.01679533        0.01616444        0.00063089
       -9.68280467        0.01608911        0.01534765        0.00074146
       -9.66611018        0.01765985        0.01677417        0.00088568
       -9.64941569        0.02076246        0.01966013        0.00110234
       -9.63272120        0.01692639        0.01604067        0.00088573
       -9.61602671        0.01949884        0.01847254        0.00102630
       -9.59933222        0.02270835        0.02150283        0.00120552
       -9.58263773        0.01897555        0.01794084        0.00103472
       -9.56594324        0.01741229        0.01646435        0.00094794
       -9.54924875        0.02603563        0.02458761        0.00144802
       -9.53255426        0.03383542        0.03203952        0.00179590
       -9.51585977        0.08812522        0.08405162        0.00407361
       -9.49916528        0.11785966        0.11289902        0.00496063
       -9.48247078        0.37293306        0.36355669        0.00937637
       -9.46577629        1.59412983        1.56846731        0.02566252
       -9.44908180        5.89492555        5.81229843        0.08262712
       -9.43238731       17.88121334       17.63756309        0.24365025
       -9.41569282       80.68560411       79.56712305        1.11848105
       -9.39899833       52.81921151       52.07044409        0.74876742
       -9.38230384       55.25986414       54.48396434        0.77589980
       -9.36560935       68.49175530       67.56171941        0.93003589
       -9.34891486       54.57463451       53.83082464        0.74380987
       -9.33222037       36.00167504       35.49511190        0.50656314
       -9.31552588        6.98371537        6.84409801        0.13961735
       -9.29883139        3.97197137        3.82936336        0.14260801
       -9.28213689        4.81758496        4.51758752        0.29999745
       -9.26544240       21.99121815       20.31124311        1.67997505
       -9.24874791       20.56079778       18.98394927        1.57684850
       -9.23205342       16.03666388       14.61870099        1.41796289
       -9.21535893       23.55830917       21.72166634        1.83664283
       -9.19866444        2.75924730        2.52041963        0.23882767
       -9.18196995        0.78973157        0.72236430        0.06736727
       -9.16527546        0.34972336        0.31801783        0.03170553
       -9.14858097        0.19447404        0.17684192        0.01763212
       -9.13188648        0.12363549        0.11295189        0.01068360
       -9.11519199        0.09945194        0.09075279        0.00869916
       -9.09849750        0.07183880        0.06557764        0.00626116
       -9.08180301        0.06697349        0.06123196        0.00574152
       -9.06510851        0.05715473        0.05230156        0.00485318
       -9.04841402        0.04352532        0.03983951        0.00368581
       -9.03171953        0.03153808        0.02887193        0.00266615
       -9.01502504        0.02320965        0.02131093        0.00189872
       -8.99833055        0.02617831        0.02407058        0.00210773
       -8.98163606        0.01955666        0.01805021        0.00150645
       -8.96494157        0.01796110        0.01666959        0.00129151
       -8.94824708        0.01764464        0.01642263        0.00122201
       -8.93155259        0.01431544        0.01334113        0.00097430
       -8.91485810        0.01339781        0.01253313        0.00086468
       -8.89816361        0.01089776        0.01022969        0.00066808
       -8.88146912        0.00790153        0.00748411        0.00041742
       -8.86477462        0.00882655        0.00839810        0.00042845
       -8.84808013        0.00960275        0.00918879        0.00041396
       -8.83138564        0.01084531        0.01042865        0.00041666
       -8.81469115        0.01404193        0.01353037        0.00051156
       -8.79799666        0.02040188        0.01967492        0.00072696
       -8.78130217        0.02938537        0.02845807        0.00092730
       -8.76460768        0.04647278        0.04526572        0.00120705
       -8.74791319        0.07537072        0.07370789        0.00166282
       -8.73121870        0.11143080        0.10928302        0.00214777
       -8.71452421        0.20782360        0.20416336        0.00366024
       -8.69782972        0.40499592        0.39833414        0.00666177
       -8.68113523        0.81702242        0.80411380        0.01290862
       -8.66444073        2.02365845        1.99288820        0.03077025
       -8.64774624        8.28127975        8.15084355        0.13043621
       -8.63105175       16.74237020       16.49806594        0.24430427
       -8.61435726       47.74239480       47.05436058        0.68803422
       -8.59766277       54.19755624       53.29303619        0.90452005
       -8.58096828       65.08756920       64.17533091        0.91223829
       -8.56427379       61.77087081       60.85383001        0.91704080
       -8.54757930       68.99823012       68.19150338        0.80672674
       -8.53088481       57.99461398       57.46389470        0.53071927
       -8.51419032       51.33836723       50.95082081        0.38754642
       -8.49749583       47.66573923       47.32160795        0.34413128
       -8.48080134       39.52806861       39.25229468        0.27577392
       -8.46410684       16.59635904       16.45237431        0.14398473
       -8.44741235        5.62470598        5.56359152        0.06111446
       -8.43071786        2.35428795        2.32007999        0.03420796
       -8.41402337        1.08977992        1.07053553        0.01924440
