#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species I as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.055454 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.94454582        0.19925951        0.00865033        0.17266544        0.01288964        0.00505411
       -4.92785133        7.13619183        0.36230133        6.10220639        0.48737492        0.18430920
       -4.91115684        0.53305363        0.02722726        0.45341842        0.03866205        0.01374591
       -4.89446235        1.67593155        0.05987988        1.47313719        0.10523375        0.03768073
       -4.87776786        0.78045053        0.06535099        0.59903555        0.08647400        0.02958999
       -4.86107337        0.06584293        0.00609143        0.05134953        0.00604956        0.00235240
       -4.84437888        0.04232142        0.00386036        0.03299101        0.00395228        0.00151777
       -4.82768439        0.02684330        0.00232091        0.02103647        0.00253416        0.00095176
       -4.81098990        0.01691169        0.00149013        0.01318042        0.00163364        0.00060751
       -4.79429540        0.01169864        0.00102901        0.00910240        0.00114631        0.00042092
       -4.77760091        0.00847833        0.00072342        0.00661418        0.00083852        0.00030221
       -4.76090642        0.00594867        0.00050162        0.00464038        0.00059552        0.00021115
       -4.74421193        0.00439079        0.00035570        0.00344317        0.00043887        0.00015305
       -4.72751744        0.00308382        0.00023700        0.00243291        0.00030868        0.00010524
       -4.71082295        0.00199873        0.00014566        0.00158558        0.00020078        0.00006671
       -4.69412846        0.00133212        0.00008918        0.00107035        0.00013005        0.00004255
       -4.67743397        0.00082259        0.00004717        0.00067518        0.00007591        0.00002434
       -4.66073948        0.00055266        0.00002560        0.00046676        0.00004589        0.00001442
       -4.64404499        0.00043980        0.00001773        0.00038014        0.00003199        0.00000994
       -4.62735050        0.00047467        0.00001645        0.00041807        0.00003084        0.00000931
       -4.61065601        0.00052084        0.00001769        0.00045706        0.00003544        0.00001065
       -4.59396151        0.00066301        0.00002370        0.00058276        0.00004356        0.00001298
       -4.57726702        0.00056205        0.00002008        0.00049367        0.00003633        0.00001196
       -4.56057253        0.00068631        0.00002453        0.00060295        0.00004366        0.00001517
       -4.54387804        0.00076182        0.00003186        0.00065889        0.00005296        0.00001811
       -4.52718355        0.00064866        0.00002528        0.00056171        0.00004669        0.00001498
       -4.51048906        0.00066524        0.00002909        0.00057796        0.00004279        0.00001539
       -4.49379457        0.00101135        0.00004619        0.00087733        0.00006584        0.00002198
       -4.47710008        0.00128342        0.00005414        0.00111379        0.00008418        0.00003132
       -4.46040559        0.00414755        0.00010705        0.00373853        0.00021913        0.00008284
       -4.44371110        0.00607994        0.00014386        0.00554441        0.00027886        0.00011281
       -4.42701661        0.02489741        0.00028276        0.02358552        0.00062985        0.00039928
       -4.41032212        0.11922309        0.00061938        0.11480605        0.00195577        0.00184189
       -4.39362763        0.44324807        0.00190995        0.42753105        0.00689125        0.00691582
       -4.37693313        1.16581662        0.00924167        1.11125884        0.02403635        0.02127976
       -4.36023864        5.50454805        0.04594932        5.23755410        0.13145721        0.08958742
       -4.34354415        3.13810998        0.04385983        2.93053548        0.10656867        0.05714601
       -4.32684966        2.66801210        0.07073231        2.40428778        0.14216540        0.05082661
       -4.31015517        2.36779965        0.11991286        1.98169860        0.21552093        0.05066726
       -4.29346068        1.39973649        0.12104011        1.04663525        0.19633818        0.03572294
       -4.27676619        0.89657335        0.10066576        0.64341361        0.13080790        0.02168609
       -4.26007170        0.22845878        0.02129473        0.17668804        0.02603392        0.00444209
       -4.24337721        0.24730017        0.01087178        0.21864654        0.01463141        0.00315044
       -4.22668272        0.54006774        0.01336983        0.50458548        0.01707270        0.00503973
       -4.20998823        2.64818297        0.07449383        2.44704438        0.10353496        0.02310979
       -4.19329374        2.43040346        0.06309114        2.25162186        0.09468137        0.02100909
       -4.17659924        2.00267515        0.03478987        1.86533110        0.08588499        0.01666919
       -4.15990475        2.32672967        0.07017858        2.12942019        0.10253345        0.02459744
       -4.14321026        0.29976212        0.00762787        0.27540325        0.01362399        0.00310702
       -4.12651577        0.08806480        0.00227208        0.08107014        0.00385111        0.00087148
       -4.10982128        0.04307086        0.00098910        0.03981859        0.00185131        0.00041185
       -4.09312679        0.02496894        0.00055369        0.02315223        0.00102476        0.00023827
       -4.07643230        0.01599733        0.00035544        0.01488072        0.00060891        0.00015225
       -4.05973781        0.01380880        0.00030237        0.01287264        0.00050907        0.00012471
       -4.04304332        0.01039766        0.00023094        0.00970311        0.00037171        0.00009190
       -4.02634883        0.00997975        0.00023233        0.00931619        0.00034366        0.00008758
       -4.00965434        0.00884148        0.00020413        0.00826352        0.00029861        0.00007522
       -3.99295985        0.00676224        0.00016293        0.00631060        0.00023060        0.00005811
       -3.97626535        0.00494396        0.00011846        0.00461341        0.00016963        0.00004246
       -3.95957086        0.00359551        0.00008490        0.00335461        0.00012383        0.00003217
       -3.94287637        0.00411937        0.00010088        0.00383808        0.00014266        0.00003776
       -3.92618188        0.00310378        0.00007198        0.00290212        0.00010238        0.00002730
       -3.90948739        0.00289334        0.00006070        0.00271903        0.00008942        0.00002418
       -3.89279290        0.00301152        0.00005602        0.00284588        0.00008595        0.00002367
       -3.87609841        0.00245791        0.00004381        0.00232569        0.00006923        0.00001919
       -3.85940392        0.00232402        0.00003771        0.00220519        0.00006294        0.00001817
       -3.84270943        0.00184064        0.00002893        0.00174695        0.00005024        0.00001452
       -3.82601494        0.00113976        0.00001689        0.00108254        0.00003070        0.00000962
       -3.80932045        0.00127025        0.00001661        0.00121041        0.00003299        0.00001024
       -3.79262596        0.00133598        0.00001566        0.00127549        0.00003427        0.00001056
       -3.77593146        0.00145861        0.00001589        0.00139383        0.00003769        0.00001120
       -3.75923697        0.00184970        0.00001963        0.00176710        0.00004876        0.00001421
       -3.74254248        0.00271825        0.00002857        0.00259642        0.00007220        0.00002106
       -3.72584799        0.00379627        0.00003532        0.00363987        0.00009411        0.00002697
       -3.70915350        0.00613092        0.00004198        0.00592299        0.00012987        0.00003608
       -3.69245901        0.01054711        0.00005188        0.01025264        0.00018931        0.00005328
       -3.67576452        0.01642288        0.00005957        0.01603019        0.00025762        0.00007550
       -3.65907003        0.03397507        0.00009608        0.03326612        0.00046986        0.00014302
       -3.64237554        0.08335075        0.00018035        0.08189254        0.00097202        0.00030584
       -3.62568105        0.17832401        0.00034569        0.17538809        0.00197788        0.00061235
       -3.60898656        0.41417569        0.00080881        0.40727748        0.00472840        0.00136101
       -3.59229207        3.55240503        0.00501678        3.50775469        0.03021357        0.00941998
       -3.57559758        2.40289054        0.00532975        2.35463836        0.03411074        0.00881169
       -3.55890308        3.09778629        0.01269339        2.99312802        0.07240815        0.01955673
       -3.54220859        4.47456626        0.01424948        4.33110355        0.10267623        0.02653700
       -3.52551410        5.04644443        0.02311545        4.87545710        0.11508712        0.03278476
       -3.50881961        9.93497140        0.04279654        9.71779215        0.12138180        0.05300092
       -3.49212512        5.72778561        0.04294176        5.54017183        0.10659623        0.03807578
       -3.47543063        4.76282826        0.03929487        4.60484580        0.08751004        0.03117755
       -3.45873614        4.94460935        0.03481537        4.80412476        0.07578402        0.02988520
       -3.44204165        7.16482424        0.04894208        6.98915766        0.08887354        0.03785095
       -3.42534716        4.29546203        0.03068093        4.15592260        0.08315840        0.02570010
       -3.40865267       14.31521868        0.03366340       14.08310587        0.14103206        0.05741735
       -3.39195818       10.33670916        0.02439418       10.17948054        0.09395582        0.03887862
       -3.37526369        8.01578453        0.02154697        7.89580023        0.06965931        0.02877802
       -3.35856919        5.96642373        0.01526511        5.87562226        0.05410886        0.02142750
       -3.34187470        5.35437199        0.01396619        5.27207000        0.04927604        0.01905976
       -3.32518021        6.27968978        0.01706652        6.18111251        0.05936358        0.02214717
       -3.30848572        3.67489404        0.01269408        3.61879733        0.03139986        0.01200278
       -3.29179123        3.69456312        0.01429703        3.63890610        0.02976483        0.01159515
       -3.27509674        4.68287781        0.01783694        4.61316707        0.03726839        0.01460541
       -3.25840225        4.68768053        0.01617125        4.61800886        0.03879929        0.01470113
       -3.24170776        7.04792302        0.02259502        6.94174497        0.06132990        0.02225313
       -3.22501327       12.23734277        0.03733091       12.06448266        0.09849578        0.03703341
       -3.20831878        6.02807390        0.01745726        5.93852425        0.05311377        0.01897862
       -3.19162429        5.88343470        0.01508890        5.79870069        0.05157374        0.01807137
       -3.17492980       12.41587266        0.02767295       12.24735806        0.10378560        0.03705605
       -3.15823530       14.09140690        0.03221001       13.89718366        0.11942881        0.04258442
       -3.14154081       10.41944606        0.02989566       10.27392565        0.08427837        0.03134638
       -3.12484632        7.58619008        0.02165884        7.47940509        0.06230988        0.02281627
       -3.10815183        6.82287260        0.02344050        6.71881428        0.06088070        0.01973712
       -3.09145734        8.57372571        0.03402057        8.43825880        0.07666695        0.02477938
       -3.07476285        7.15514315        0.02788199        7.04426300        0.06224388        0.02075428
       -3.05806836        4.85527476        0.01966794        4.78045187        0.04194954        0.01320541
       -3.04137387        8.03436020        0.03093648        7.91419318        0.06962778        0.01960277
       -3.02467938        4.50396737        0.02053447        4.43819737        0.03405260        0.01118293
       -3.00798489        7.19625606        0.03355644        7.08438209        0.05985867        0.01845886
       -2.99129040       13.90223014        0.03715125       13.69972394        0.12185767        0.04349729
       -2.97459591        5.72563216        0.01198925        5.64691734        0.04901911        0.01770646
       -2.95790141       18.61990269        0.05808467       18.34818142        0.16012204        0.05351456
       -2.94120692        8.19526339        0.03818742        8.06345222        0.07134534        0.02227841
       -2.92451243        5.26147221        0.02905272        5.17593827        0.04294037        0.01354085
       -2.90781794        4.32726800        0.01723576        4.26196336        0.03626554        0.01180334
       -2.89112345       11.01106739        0.04520458       10.84812524        0.08890028        0.02883729
       -2.87442896       10.58153698        0.03676071       10.43163578        0.08663256        0.02650793
       -2.85773447       13.72649322        0.04624819       13.54065555        0.10933370        0.03025578
       -2.84103998       14.24308891        0.06122747       14.03463671        0.11378966        0.03343507
       -2.82434549       13.46955533        0.06718423       13.25379133        0.11400593        0.03457384
       -2.80765100        9.56592604        0.04091627        9.42330385        0.07717526        0.02453066
       -2.79095651        5.02979687        0.02347374        4.95482134        0.03915676        0.01234503
       -2.77426202        6.96829675        0.03931196        6.85390417        0.05723430        0.01784632
       -2.75756752        8.09368068        0.03338707        7.98711687        0.05523922        0.01793752
