#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species I as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.19925951        0.00865033        0.17266544        0.01288964        0.00505411
       -9.98330551        7.13619183        0.36230133        6.10220639        0.48737492        0.18430920
       -9.96661102        0.53305363        0.02722726        0.45341842        0.03866205        0.01374591
       -9.94991653        1.67593155        0.05987988        1.47313719        0.10523375        0.03768073
       -9.93322204        0.78045053        0.06535099        0.59903555        0.08647400        0.02958999
       -9.91652755        0.06584293        0.00609143        0.05134953        0.00604956        0.00235240
       -9.89983306        0.04232142        0.00386036        0.03299101        0.00395228        0.00151777
       -9.88313856        0.02684330        0.00232091        0.02103647        0.00253416        0.00095176
       -9.86644407        0.01691169        0.00149013        0.01318042        0.00163364        0.00060751
       -9.84974958        0.01169864        0.00102901        0.00910240        0.00114631        0.00042092
       -9.83305509        0.00847833        0.00072342        0.00661418        0.00083852        0.00030221
       -9.81636060        0.00594867        0.00050162        0.00464038        0.00059552        0.00021115
       -9.79966611        0.00439079        0.00035570        0.00344317        0.00043887        0.00015305
       -9.78297162        0.00308382        0.00023700        0.00243291        0.00030868        0.00010524
       -9.76627713        0.00199873        0.00014566        0.00158558        0.00020078        0.00006671
       -9.74958264        0.00133212        0.00008918        0.00107035        0.00013005        0.00004255
       -9.73288815        0.00082259        0.00004717        0.00067518        0.00007591        0.00002434
       -9.71619366        0.00055266        0.00002560        0.00046676        0.00004589        0.00001442
       -9.69949917        0.00043980        0.00001773        0.00038014        0.00003199        0.00000994
       -9.68280467        0.00047467        0.00001645        0.00041807        0.00003084        0.00000931
       -9.66611018        0.00052084        0.00001769        0.00045706        0.00003544        0.00001065
       -9.64941569        0.00066301        0.00002370        0.00058276        0.00004356        0.00001298
       -9.63272120        0.00056205        0.00002008        0.00049367        0.00003633        0.00001196
       -9.61602671        0.00068631        0.00002453        0.00060295        0.00004366        0.00001517
       -9.59933222        0.00076182        0.00003186        0.00065889        0.00005296        0.00001811
       -9.58263773        0.00064866        0.00002528        0.00056171        0.00004669        0.00001498
       -9.56594324        0.00066524        0.00002909        0.00057796        0.00004279        0.00001539
       -9.54924875        0.00101135        0.00004619        0.00087733        0.00006584        0.00002198
       -9.53255426        0.00128342        0.00005414        0.00111379        0.00008418        0.00003132
       -9.51585977        0.00414755        0.00010705        0.00373853        0.00021913        0.00008284
       -9.49916528        0.00607994        0.00014386        0.00554441        0.00027886        0.00011281
       -9.48247078        0.02489741        0.00028276        0.02358552        0.00062985        0.00039928
       -9.46577629        0.11922309        0.00061938        0.11480605        0.00195577        0.00184189
       -9.44908180        0.44324807        0.00190995        0.42753105        0.00689125        0.00691582
       -9.43238731        1.16581662        0.00924167        1.11125884        0.02403635        0.02127976
       -9.41569282        5.50454805        0.04594932        5.23755410        0.13145721        0.08958742
       -9.39899833        3.13810998        0.04385983        2.93053548        0.10656867        0.05714601
       -9.38230384        2.66801210        0.07073231        2.40428778        0.14216540        0.05082661
       -9.36560935        2.36779965        0.11991286        1.98169860        0.21552093        0.05066726
       -9.34891486        1.39973649        0.12104011        1.04663525        0.19633818        0.03572294
       -9.33222037        0.89657335        0.10066576        0.64341361        0.13080790        0.02168609
