#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species N as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.055454 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -4.94454582        0.71376605        0.03288203        0.64099025        0.03989377
       -4.92785133       26.46864413        1.23946930       23.76357750        1.46559733
       -4.91115684        1.97561197        0.08869781        1.77466845        0.11224571
       -4.89446235        5.06572173        0.23088326        4.53391634        0.30092212
       -4.87776786        4.14995739        0.18251256        3.74631219        0.22113264
       -4.86107337        0.31127814        0.01367297        0.28031270        0.01729248
       -4.84437888        0.20211543        0.00889630        0.18208272        0.01113642
       -4.82768439        0.12853695        0.00569613        0.11586739        0.00697343
       -4.81098990        0.08269289        0.00366894        0.07457551        0.00444844
       -4.79429540        0.05792182        0.00258043        0.05226168        0.00307971
       -4.77760091        0.04230314        0.00190155        0.03819615        0.00220543
       -4.76090642        0.02989127        0.00135051        0.02699782        0.00154294
       -4.74421193        0.02203377        0.00100697        0.01991334        0.00111346
       -4.72751744        0.01547721        0.00071637        0.01399967        0.00076116
       -4.71082295        0.01001899        0.00046869        0.00907009        0.00048021
       -4.69412846        0.00651797        0.00031034        0.00590597        0.00030166
       -4.67743397        0.00384254        0.00018822        0.00348725        0.00016706
       -4.66073948        0.00240894        0.00012505        0.00219394        0.00008995
       -4.64404499        0.00175527        0.00009643        0.00160460        0.00005424
       -4.62735050        0.00177135        0.00010278        0.00162518        0.00004339
       -4.61065601        0.00205893        0.00012041        0.00189782        0.00004070
       -4.59396151        0.00240830        0.00013961        0.00221770        0.00005099
       -4.57726702        0.00193460        0.00011100        0.00177984        0.00004376
       -4.56057253        0.00217431        0.00012212        0.00199418        0.00005801
       -4.54387804        0.00259075        0.00014283        0.00238147        0.00006645
       -4.52718355        0.00221134        0.00012053        0.00203624        0.00005457
       -4.51048906        0.00195499        0.00010631        0.00179694        0.00005174
       -4.49379457        0.00291834        0.00015751        0.00268041        0.00008041
       -4.47710008        0.00379226        0.00020798        0.00348793        0.00009635
       -4.46040559        0.00822190        0.00043532        0.00748520        0.00030137
       -4.44371110        0.01030073        0.00053006        0.00935165        0.00041902
       -4.42701661        0.02083910        0.00100644        0.01826912        0.00156355
       -4.41032212        0.06270269        0.00290912        0.05264389        0.00714968
       -4.39362763        0.20935215        0.00952284        0.17299817        0.02683114
       -4.37693313        0.66451697        0.03049861        0.55369943        0.08031892
       -4.36023864        2.77049717        0.11413684        2.26705575        0.38930457
       -4.34354415        1.74790966        0.06616093        1.41515464        0.26659410
       -4.32684966        1.89975978        0.06768132        1.55402437        0.27805408
       -4.31015517        2.56261492        0.08762400        2.14177190        0.33321902
       -4.29346068        2.03213900        0.06392319        1.69856916        0.26964665
       -4.27676619        1.37704978        0.04612206        1.15611025        0.17481747
       -4.26007170        0.28348399        0.00917878        0.23893129        0.03537392
       -4.24337721        0.17391165        0.00430833        0.14590948        0.02369384
       -4.22668272        0.24251261        0.00408967        0.20326944        0.03515350
       -4.20998823        1.40258988        0.02674363        1.20272805        0.17311820
       -4.19329374        1.44782958        0.03793434        1.26351059        0.14638466
       -4.17659924        1.53609010        0.04661080        1.36804143        0.12143787
       -4.15990475        2.36538803        0.09422746        2.11594300        0.15521756
       -4.14321026        0.27907604        0.00985968        0.24904980        0.02016656
       -4.12651577        0.07950166        0.00277869        0.07105984        0.00566313
       -4.10982128        0.03486409        0.00111208        0.03103489        0.00271713
       -4.09312679        0.01840588        0.00056385        0.01631927        0.00152275
       -4.07643230        0.01119220        0.00035446        0.00989992        0.00093782
       -4.05973781        0.00904580        0.00026962        0.00798849        0.00078769
       -4.04304332        0.00635789        0.00017656        0.00559431        0.00058702
       -4.02634883        0.00577692        0.00016078        0.00505714        0.00055900
       -4.00965434        0.00483149        0.00012801        0.00421451        0.00048897
       -3.99295985        0.00356682        0.00009032        0.00309464        0.00038186
       -3.97626535        0.00252773        0.00006286        0.00218536        0.00027951
       -3.95957086        0.00178721        0.00004506        0.00153802        0.00020413
       -3.94287637        0.00193475        0.00004536        0.00164897        0.00024041
       -3.92618188        0.00135211        0.00003092        0.00114585        0.00017533
       -3.90948739        0.00112414        0.00002408        0.00094676        0.00015330
       -3.89279290        0.00102569        0.00002030        0.00085862        0.00014676
       -3.87609841        0.00079001        0.00001528        0.00065686        0.00011787
       -3.85940392        0.00068488        0.00001265        0.00056646        0.00010577
       -3.84270943        0.00051305        0.00000959        0.00042148        0.00008198
       -3.82601494        0.00032645        0.00000645        0.00026788        0.00005212
       -3.80932045        0.00031584        0.00000610        0.00025415        0.00005558
       -3.79262596        0.00029380        0.00000579        0.00023248        0.00005553
       -3.77593146        0.00028575        0.00000574        0.00022180        0.00005822
       -3.75923697        0.00033921        0.00000680        0.00025933        0.00007309
       -3.74254248        0.00046063        0.00000899        0.00034401        0.00010763
       -3.72584799        0.00058841        0.00001275        0.00043806        0.00013761
       -3.70915350        0.00079513        0.00002097        0.00060434        0.00016982
       -3.69245901        0.00113723        0.00003476        0.00088234        0.00022013
       -3.67576452        0.00152490        0.00005239        0.00120697        0.00026555
       -3.65907003        0.00261933        0.00009508        0.00209506        0.00042919
       -3.64237554        0.00477343        0.00017552        0.00387228        0.00072563
       -3.62568105        0.00911684        0.00034607        0.00740439        0.00136638
       -3.60898656        0.02117738        0.00084475        0.01712238        0.00321025
       -3.59229207        0.08473969        0.00268916        0.06885800        0.01319254
       -3.57559758        0.16410935        0.00759711        0.13052487        0.02598737
       -3.55890308        0.50156382        0.02412153        0.40529298        0.07214930
       -3.54220859        0.68762698        0.03126639        0.56648211        0.08987848
       -3.52551410        0.66660947        0.03256007        0.54801067        0.08603872
       -3.50881961        0.75939038        0.04275666        0.63600878        0.08062494
       -3.49212512        0.66715359        0.03806654        0.56819448        0.06089258
       -3.47543063        0.41572280        0.02935066        0.35193148        0.03444066
       -3.45873614        0.32300104        0.02735207        0.27486814        0.02078082
       -3.44204165        0.26719603        0.02744078        0.21978128        0.01997397
       -3.42534716        0.19524710        0.01942831        0.15733420        0.01848459
       -3.40865267        0.18554163        0.00809771        0.16487811        0.01256581
       -3.39195818        0.10574322        0.00347548        0.09635241        0.00591533
       -3.37526369        0.07302251        0.00208259        0.06734777        0.00359215
       -3.35856919        0.04842805        0.00110647        0.04492674        0.00239484
       -3.34187470        0.04121167        0.00074891        0.03851551        0.00194725
       -3.32518021        0.04559751        0.00061040        0.04295533        0.00203177
       -3.30848572        0.02808653        0.00059257        0.02647944        0.00101452
       -3.29179123        0.02910801        0.00085317        0.02740114        0.00085371
       -3.27509674        0.03703501        0.00116910        0.03485110        0.00101481
       -3.25840225        0.03444401        0.00103896        0.03240421        0.00100084
       -3.24170776        0.04895707        0.00123970        0.04618412        0.00153325
       -3.22501327        0.08269726        0.00246926        0.07783927        0.00238873
       -3.20831878        0.03932640        0.00090360        0.03715228        0.00127052
       -3.19162429        0.03946213        0.00082597        0.03744233        0.00119382
       -3.17492980        0.08517398        0.00238435        0.08046219        0.00232744
       -3.15823530        0.09312147        0.00266446        0.08788994        0.00256707
       -3.14154081        0.06454813        0.00229063        0.06060218        0.00165532
       -3.12484632        0.04742907        0.00154064        0.04467919        0.00120923
       -3.10815183        0.04376772        0.00124720        0.04135933        0.00116119
       -3.09145734        0.05347179        0.00165797        0.05041305        0.00140077
       -3.07476285        0.04574633        0.00162817        0.04302505        0.00109311
       -3.05806836        0.03431759        0.00103216        0.03256559        0.00071984
       -3.04137387        0.05786242        0.00169172        0.05500086        0.00116984
       -3.02467938        0.03482437        0.00105990        0.03322782        0.00053664
       -3.00798489        0.05081776        0.00120050        0.04860855        0.00100871
       -2.99129040        0.09656444        0.00150265        0.09275506        0.00230673
       -2.97459591        0.04259665        0.00038686        0.04124301        0.00096678
       -2.95790141        0.13706048        0.00159906        0.13248216        0.00297927
       -2.94120692        0.06284225        0.00149185        0.06021995        0.00113045
       -2.92451243        0.04545186        0.00125757        0.04359553        0.00059876
       -2.90781794        0.03285430        0.00067724        0.03155690        0.00062016
       -2.89112345        0.08636114        0.00155463        0.08329643        0.00151009
       -2.87442896        0.08122266        0.00054052        0.07908710        0.00159504
       -2.85773447        0.10542467        0.00115423        0.10234532        0.00192512
       -2.84103998        0.11119029        0.00135335        0.10804725        0.00178969
       -2.82434549        0.09986299        0.00229902        0.09593303        0.00163094
       -2.80765100        0.07554536        0.00108529        0.07319030        0.00126977
       -2.79095651        0.04169448        0.00084387        0.04024164        0.00060897
       -2.77426202        0.05056046        0.00095278        0.04873861        0.00086907
       -2.75756752        0.06779578        0.00029100        0.06643386        0.00107092
       -2.74087303        0.04593959        0.00022313        0.04498834        0.00072813
       -2.72417854        0.03318942        0.00025759        0.03237429        0.00055754
       -2.70748405        0.03792750        0.00036945        0.03687032        0.00068774
       -2.69078956        0.03383111        0.00022405        0.03293643        0.00067063
       -2.67409507        0.04869459        0.00020139        0.04762458        0.00086862
       -2.65740058        0.08277009        0.00026878        0.08115872        0.00134259
       -2.64070609        0.10271467       -0.00042890        0.10172884        0.00141473
       -2.62401160        0.14763973       -0.00122844        0.14696779        0.00190037
       -2.60731711        0.17114197       -0.00086396        0.16989065        0.00211528
       -2.59062262        0.33569623       -0.00072622        0.33158923        0.00483321
       -2.57392813        0.22933686       -0.00096069        0.22694504        0.00335251
       -2.55723364        0.25931830       -0.00106366        0.25652827        0.00385370
       -2.54053914        0.27622624       -0.00089069        0.27272666        0.00439028
       -2.52384465        0.24240297       -0.00035613        0.23838606        0.00437304
       -2.50715016        0.36603681        0.00103799        0.35736145        0.00763738
       -2.49045567        0.15604450        0.00007629        0.15261840        0.00334981
       -2.47376118        0.18484456        0.00057516        0.18039628        0.00387312
       -2.45706669        0.16630275        0.00046201        0.16242661        0.00341413
       -2.44037220        0.15541263        0.00110187        0.15084336        0.00346741
       -2.42367771        0.12234648        0.00128755        0.11782238        0.00323656
       -2.40698322        0.07881975        0.00090309        0.07587336        0.00204330
       -2.39028873        0.12901241        0.00154110        0.12419568        0.00327564
       -2.37359424        0.20966458        0.00128172        0.20263427        0.00574859
       -2.35689975        0.23917858        0.00190998        0.23100050        0.00626811
       -2.34020525        0.17927311        0.00142619        0.17343837        0.00440855
       -2.32351076        0.16153625        0.00309395        0.15395023        0.00449207
       -2.30681627        0.12523296        0.00260761        0.11942826        0.00319709
       -2.29012178        0.13916470        0.00354275        0.13205267        0.00356928
       -2.27342729        0.10721098        0.00231989        0.10243330        0.00245779
       -2.25673280        0.07577538        0.00010796        0.07414626        0.00152116
       -2.24003831        0.16171965        0.00077988        0.15768747        0.00325229
       -2.22334382        0.22324098       -0.00110810        0.21964825        0.00470083
       -2.20664933        0.12828121        0.00047608        0.12484732        0.00295781
       -2.18995484        0.10164783        0.00102150        0.09830599        0.00232034
       -2.17326035        0.10514419        0.00040088        0.10232530        0.00241801
       -2.15656586        0.13159633        0.00309431        0.12492368        0.00357834
       -2.13987136        0.19872661        0.00379609        0.19038440        0.00454613
       -2.12317687        0.31955877        0.00868504        0.30267132        0.00820241
       -2.10648238        0.08763827        0.00111926        0.08450557        0.00201344
       -2.08978789        0.21545701        0.00201506        0.20918669        0.00425527
       -2.07309340        0.19738069        0.00132527        0.19247961        0.00357580
       -2.05639891        0.29547352        0.00251287        0.28725642        0.00570423
       -2.03970442        0.24688972        0.00216367        0.23960925        0.00511680
       -2.02300993        0.23475456       -0.00144469        0.23177619        0.00442305
       -2.00631544        0.24648484       -0.00008626        0.24165205        0.00491905
       -1.98962095        0.19593534       -0.00165080        0.19382606        0.00376008
       -1.97292646        0.14365722       -0.00078552        0.14164166        0.00280108
       -1.95623197        0.18555895       -0.00006681        0.18177296        0.00385280
       -1.93953747        0.15136928        0.00076310        0.14725602        0.00335015
       -1.92284298        0.16238102       -0.00003177        0.15923828        0.00317451
       -1.90614849        0.16737722        0.00086216        0.16294277        0.00357228
       -1.88945400        0.11024914        0.00033715        0.10775838        0.00215361
       -1.87275951        0.12228145        0.00156989        0.11837383        0.00233774
       -1.85606502        0.12620986        0.00313568        0.12046044        0.00261374
       -1.83937053        0.15741667        0.00353744        0.15086832        0.00301090
       -1.82267604        0.32890839        0.00928850        0.31350895        0.00611093
       -1.80598155        0.23566242        0.00156501        0.22970784        0.00438957
       -1.78928706        0.21359963        0.00152510        0.20743637        0.00463815
       -1.77259257        0.30663838        0.00443275        0.29399796        0.00820768
       -1.75589808        0.36935649        0.00577468        0.35262390        0.01095791
       -1.73920359        0.71969105        0.00558000        0.69144330        0.02266775
       -1.72250909        0.25401555        0.00118224        0.24514143        0.00769188
       -1.70581460        0.36718360        0.00179341        0.35396454        0.01142565
       -1.68912011        0.26074170       -0.00007597        0.25193000        0.00888767
       -1.67242562        0.48984741       -0.00087722        0.47510856        0.01561608
       -1.65573113        0.42837879       -0.00547912        0.41928186        0.01457604
       -1.63903664        0.60933612       -0.01464173        0.60296045        0.02101740
       -1.62234215        0.77187865       -0.01861756        0.76263398        0.02786223
       -1.60564766        0.27015606       -0.00799269        0.26429548        0.01385327
       -1.58895317        0.32138013       -0.00877067        0.30793003        0.02222077
       -1.57225868        0.90995749       -0.01296972        0.86158517        0.06134204
       -1.55556419        0.72328185       -0.00746268        0.68765745        0.04308708
       -1.53886970        0.80245695        0.00343690        0.75835631        0.04066375
       -1.52217520        0.61923204       -0.00054550        0.58487879        0.03489874
       -1.50548071        0.59564011       -0.01300114        0.57277679        0.03586446
       -1.48878622        0.44781851       -0.00355487        0.42877060        0.02260278
       -1.47209173        0.57004387        0.00170063        0.53979045        0.02855278
       -1.45539724        0.37371617        0.00271050        0.35593670        0.01506897
       -1.43870275        0.37836894        0.00579775        0.35933440        0.01323678
       -1.42200826        0.37138602        0.00657187        0.35288660        0.01192754
       -1.40531377        0.45282843        0.00902309        0.42862815        0.01517719
       -1.38861928        0.49344291        0.00599392        0.47183697        0.01561203
       -1.37192479        0.52520544        0.00407425        0.50719620        0.01393498
       -1.35523030        0.83260357        0.00672173        0.80207673        0.02380511
       -1.33853581        0.63465978        0.00795441        0.60960729        0.01709808
       -1.32184131        0.36952303        0.00325909        0.35580530        0.01045864
       -1.30514682        0.24636901        0.00030404        0.23921835        0.00684662
       -1.28845233        0.25747033        0.00252432        0.24795119        0.00699482
       -1.27175784        0.34245341       -0.00025191        0.33313181        0.00957352
       -1.25506335        0.33464146        0.00428768        0.32142389        0.00892989
       -1.23836886        0.33722663        0.00567014        0.32221716        0.00933933
       -1.22167437        0.31958366        0.00064565        0.31013076        0.00880725
       -1.20497988        0.16534337       -0.00016609        0.16080116        0.00470831
       -1.18828539        0.13703830        0.00007735        0.13304231        0.00391864
       -1.17159090        0.02518239        0.00028592        0.02415527        0.00074120
       -1.15489641        0.01587670        0.00034219        0.01502569        0.00050883
       -1.13820192        0.02287424        0.00053149        0.02156289        0.00077986
       -1.12150742        0.06827974        0.00118314        0.06459287        0.00250374
       -1.10481293        0.27044219        0.00778608        0.25316147        0.00949464
       -1.08811844        0.25658528        0.00631424        0.24198342        0.00828762
       -1.07142395        0.46863382        0.00737546        0.44844708        0.01281128
       -1.05472946        0.41213977        0.00682797        0.39446559        0.01084621
       -1.03803497        0.19721905        0.00486042        0.18663926        0.00571937
       -1.02134048        0.44405736        0.00647798        0.42578069        0.01179869
       -1.00464599        0.73548630        0.01309371        0.70093740        0.02145519
       -0.98795150        0.42432763        0.00530621        0.40761590        0.01140552
       -0.97125701        0.17512828        0.00419835        0.16578415        0.00514578
       -0.95456252        0.51614925        0.00284478        0.49849301        0.01481146
       -0.93786803        0.35700407        0.00269947        0.34433357        0.00997103
       -0.92117353        0.51846178        0.01074920        0.49281880        0.01489378
       -0.90447904        0.40333177        0.00590503        0.38644651        0.01098023
       -0.88778455        0.74501192        0.00810464        0.71837328        0.01853400
       -0.87109006        0.42300686        0.00540499        0.40832502        0.00927685
       -0.85439557        0.25123365        0.00238751        0.24375177        0.00509436
       -0.83770108        0.25155953        0.00126875        0.24605180        0.00423898
       -0.82100659        0.31941398        0.00120451        0.31335092        0.00485856
       -0.80431210        1.33675431        0.00231304        1.30597344        0.02846783
       -0.78761761        0.60120901        0.00275209        0.58501327        0.01344366
       -0.77092312        0.48551178        0.00119908        0.47655357        0.00775914
       -0.75422863        0.60024808       -0.00045649        0.58757438        0.01313020
       -0.73753414        0.79698955        0.00873652        0.76927796        0.01897507
       -0.72083965        0.30472251        0.00144520        0.29861159        0.00466572
       -0.70414515        0.21392814        0.00001484        0.21092216        0.00299114
       -0.68745066        0.63717470        0.00591318        0.61668857        0.01457295
       -0.67075617        0.29948085        0.00451475        0.28806088        0.00690522
