#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species N as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
      -10.00000000        0.71376605        0.03288203        0.64099025        0.03989377
       -9.98330551       26.46864413        1.23946930       23.76357750        1.46559733
       -9.96661102        1.97561197        0.08869781        1.77466845        0.11224571
       -9.94991653        5.06572173        0.23088326        4.53391634        0.30092212
       -9.93322204        4.14995739        0.18251256        3.74631219        0.22113264
       -9.91652755        0.31127814        0.01367297        0.28031270        0.01729248
       -9.89983306        0.20211543        0.00889630        0.18208272        0.01113642
       -9.88313856        0.12853695        0.00569613        0.11586739        0.00697343
       -9.86644407        0.08269289        0.00366894        0.07457551        0.00444844
       -9.84974958        0.05792182        0.00258043        0.05226168        0.00307971
       -9.83305509        0.04230314        0.00190155        0.03819615        0.00220543
       -9.81636060        0.02989127        0.00135051        0.02699782        0.00154294
       -9.79966611        0.02203377        0.00100697        0.01991334        0.00111346
       -9.78297162        0.01547721        0.00071637        0.01399967        0.00076116
       -9.76627713        0.01001899        0.00046869        0.00907009        0.00048021
       -9.74958264        0.00651797        0.00031034        0.00590597        0.00030166
       -9.73288815        0.00384254        0.00018822        0.00348725        0.00016706
       -9.71619366        0.00240894        0.00012505        0.00219394        0.00008995
       -9.69949917        0.00175527        0.00009643        0.00160460        0.00005424
       -9.68280467        0.00177135        0.00010278        0.00162518        0.00004339
       -9.66611018        0.00205893        0.00012041        0.00189782        0.00004070
       -9.64941569        0.00240830        0.00013961        0.00221770        0.00005099
       -9.63272120        0.00193460        0.00011100        0.00177984        0.00004376
       -9.61602671        0.00217431        0.00012212        0.00199418        0.00005801
       -9.59933222        0.00259075        0.00014283        0.00238147        0.00006645
       -9.58263773        0.00221134        0.00012053        0.00203624        0.00005457
       -9.56594324        0.00195499        0.00010631        0.00179694        0.00005174
       -9.54924875        0.00291834        0.00015751        0.00268041        0.00008041
       -9.53255426        0.00379226        0.00020798        0.00348793        0.00009635
       -9.51585977        0.00822190        0.00043532        0.00748520        0.00030137
       -9.49916528        0.01030073        0.00053006        0.00935165        0.00041902
       -9.48247078        0.02083910        0.00100644        0.01826912        0.00156355
       -9.46577629        0.06270269        0.00290912        0.05264389        0.00714968
       -9.44908180        0.20935215        0.00952284        0.17299817        0.02683114
       -9.43238731        0.66451697        0.03049861        0.55369943        0.08031892
       -9.41569282        2.77049717        0.11413684        2.26705575        0.38930457
       -9.39899833        1.74790966        0.06616093        1.41515464        0.26659410
       -9.38230384        1.89975978        0.06768132        1.55402437        0.27805408
       -9.36560935        2.56261492        0.08762400        2.14177190        0.33321902
       -9.34891486        2.03213900        0.06392319        1.69856916        0.26964665
       -9.33222037        1.37704978        0.04612206        1.15611025        0.17481747
       -9.31552588        0.28348399        0.00917878        0.23893129        0.03537392
       -9.29883139        0.17391165        0.00430833        0.14590948        0.02369384
       -9.28213689        0.24251261        0.00408967        0.20326944        0.03515350
       -9.26544240        1.40258988        0.02674363        1.20272805        0.17311820
       -9.24874791        1.44782958        0.03793434        1.26351059        0.14638466
       -9.23205342        1.53609010        0.04661080        1.36804143        0.12143787
       -9.21535893        2.36538803        0.09422746        2.11594300        0.15521756
       -9.19866444        0.27907604        0.00985968        0.24904980        0.02016656
       -9.18196995        0.07950166        0.00277869        0.07105984        0.00566313
       -9.16527546        0.03486409        0.00111208        0.03103489        0.00271713
       -9.14858097        0.01840588        0.00056385        0.01631927        0.00152275
       -9.13188648        0.01119220        0.00035446        0.00989992        0.00093782
       -9.11519199        0.00904580        0.00026962        0.00798849        0.00078769
       -9.09849750        0.00635789        0.00017656        0.00559431        0.00058702
       -9.08180301        0.00577692        0.00016078        0.00505714        0.00055900
       -9.06510851        0.00483149        0.00012801        0.00421451        0.00048897
       -9.04841402        0.00356682        0.00009032        0.00309464        0.00038186
       -9.03171953        0.00252773        0.00006286        0.00218536        0.00027951
       -9.01502504        0.00178721        0.00004506        0.00153802        0.00020413
       -8.99833055        0.00193475        0.00004536        0.00164897        0.00024041
       -8.98163606        0.00135211        0.00003092        0.00114585        0.00017533
       -8.96494157        0.00112414        0.00002408        0.00094676        0.00015330
       -8.94824708        0.00102569        0.00002030        0.00085862        0.00014676
       -8.93155259        0.00079001        0.00001528        0.00065686        0.00011787
       -8.91485810        0.00068488        0.00001265        0.00056646        0.00010577
       -8.89816361        0.00051305        0.00000959        0.00042148        0.00008198
       -8.88146912        0.00032645        0.00000645        0.00026788        0.00005212
       -8.86477462        0.00031584        0.00000610        0.00025415        0.00005558
       -8.84808013        0.00029380        0.00000579        0.00023248        0.00005553
       -8.83138564        0.00028575        0.00000574        0.00022180        0.00005822
       -8.81469115        0.00033921        0.00000680        0.00025933        0.00007309
       -8.79799666        0.00046063        0.00000899        0.00034401        0.00010763
       -8.78130217        0.00058841        0.00001275        0.00043806        0.00013761
       -8.76460768        0.00079513        0.00002097        0.00060434        0.00016982
       -8.74791319        0.00113723        0.00003476        0.00088234        0.00022013
       -8.73121870        0.00152490        0.00005239        0.00120697        0.00026555
       -8.71452421        0.00261933        0.00009508        0.00209506        0.00042919
       -8.69782972        0.00477343        0.00017552        0.00387228        0.00072563
