#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species Pb as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.00924587        0.00363220        0.00428185        0.00115736        0.00014474        0.00002972
       -9.98330551        0.32652398        0.13555417        0.14612993        0.03799301        0.00568168        0.00116518
       -9.96661102        0.02912679        0.01244243        0.01306620        0.00307903        0.00044359        0.00009554
       -9.94991653        0.09553948        0.02881625        0.05441940        0.01048249        0.00160434        0.00021701
       -9.93322204        0.06048532        0.02593288        0.03014471        0.00312680        0.00091020        0.00037073
       -9.91652755        0.00511741        0.00293776        0.00179217        0.00028907        0.00006079        0.00003762
       -9.89983306        0.00333516        0.00190519        0.00118238        0.00018421        0.00003978        0.00002360
       -9.88313856        0.00211249        0.00116447        0.00079017        0.00011784        0.00002595        0.00001406
       -9.86644407        0.00133557        0.00073745        0.00049909        0.00007350        0.00001648        0.00000907
       -9.84974958        0.00092006        0.00050054        0.00035048        0.00005127        0.00001148        0.00000629
       -9.83305509        0.00065860        0.00034552        0.00026209        0.00003812        0.00000843        0.00000443
       -9.81636060        0.00045672        0.00023070        0.00019000        0.00002694        0.00000601        0.00000308
       -9.79966611        0.00033308        0.00016160        0.00014434        0.00002047        0.00000449        0.00000218
       -9.78297162        0.00023063        0.00010587        0.00010511        0.00001498        0.00000322        0.00000145
       -9.76627713        0.00014773        0.00006366        0.00007092        0.00001014        0.00000213        0.00000089
       -9.74958264        0.00009787        0.00004056        0.00004819        0.00000714        0.00000146        0.00000053
       -9.73288815        0.00006077        0.00002354        0.00003121        0.00000482        0.00000093        0.00000027
       -9.71619366        0.00003993        0.00001425        0.00002113        0.00000373        0.00000068        0.00000014
       -9.69949917        0.00003201        0.00001048        0.00001761        0.00000327        0.00000055        0.00000010
       -9.68280467        0.00003436        0.00000999        0.00002002        0.00000368        0.00000058        0.00000009
       -9.66611018        0.00003752        0.00000965        0.00002298        0.00000404        0.00000075        0.00000011
       -9.64941569        0.00005370        0.00001436        0.00003332        0.00000502        0.00000087        0.00000014
       -9.63272120        0.00004587        0.00001045        0.00003053        0.00000395        0.00000081        0.00000013
       -9.61602671        0.00005847        0.00001189        0.00004069        0.00000470        0.00000102        0.00000016
       -9.59933222        0.00007822        0.00001412        0.00005794        0.00000480        0.00000115        0.00000020
       -9.58263773        0.00006639        0.00001155        0.00004942        0.00000434        0.00000091        0.00000017
       -9.56594324        0.00006285        0.00001100        0.00004585        0.00000469        0.00000110        0.00000021
       -9.54924875        0.00009444        0.00001616        0.00006914        0.00000730        0.00000154        0.00000030
       -9.53255426        0.00010398        0.00001680        0.00007483        0.00000968        0.00000223        0.00000044
       -9.51585977        0.00028078        0.00003925        0.00021130        0.00002503        0.00000435        0.00000084
       -9.49916528        0.00041180        0.00005115        0.00031953        0.00003481        0.00000526        0.00000104
       -9.48247078        0.00152504        0.00011024        0.00132892        0.00006818        0.00001593        0.00000177
       -9.46577629        0.00671518        0.00039189        0.00608165        0.00016540        0.00007247        0.00000377
       -9.44908180        0.02408972        0.00130237        0.02185690        0.00066267        0.00025403        0.00001374
       -9.43238731        0.05206897        0.00436164        0.04328316        0.00373349        0.00061551        0.00007517
       -9.41569282        0.27949744        0.02008798        0.24254023        0.01357262        0.00285075        0.00044586
       -9.39899833        0.11624277        0.01273155        0.08585714        0.01604782        0.00111638        0.00048989
       -9.38230384        0.10015096        0.01241663        0.07253182        0.01356103        0.00113276        0.00050873
       -9.36560935        0.08597245        0.00828361        0.06266247        0.01309659        0.00131806        0.00061171
       -9.34891486        0.04563135        0.00754245        0.02860723        0.00773260        0.00137328        0.00037579
       -9.33222037        0.03311546        0.00650335        0.01945657        0.00605518        0.00074838        0.00035198
       -9.31552588        0.01516224        0.00158341        0.01229454        0.00097601        0.00027068        0.00003761
       -9.29883139        0.01924183        0.00232693        0.01554215        0.00109238        0.00024102        0.00003935
       -9.28213689        0.04911436        0.00521745        0.04093474        0.00235606        0.00052211        0.00008400
       -9.26544240        0.31566680        0.03154752        0.27161319        0.00963085        0.00250244        0.00037280
       -9.24874791        0.28035204        0.04985169        0.21629212        0.01199027        0.00180429        0.00041367
       -9.23205342        0.21790341        0.05008309        0.15660567        0.00949963        0.00142476        0.00029025
       -9.21535893        0.25849414        0.08447302        0.15343589        0.01850251        0.00158238        0.00050034
       -9.19866444        0.03203513        0.01054631        0.01911808        0.00209645        0.00021418        0.00006011
       -9.18196995        0.00977593        0.00304672        0.00606378        0.00058396        0.00006472        0.00001674
       -9.16527546        0.00467084        0.00134937        0.00300999        0.00027386        0.00002950        0.00000811
       -9.14858097        0.00268587        0.00072804        0.00177935        0.00015627        0.00001748        0.00000473
       -9.13188648        0.00174689        0.00044392        0.00119035        0.00009856        0.00001112        0.00000294
       -9.11519199        0.00150340        0.00035896        0.00105114        0.00008119        0.00000968        0.00000244
