#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.055454 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.94454582        8.98225081        0.56464761        8.02819435        0.33977562        0.04963323
       -4.92785133       14.43294298        0.53415127       13.34785558        0.48133504        0.06960109
       -4.91115684       10.96495046        0.38970438        9.89465906        0.58734258        0.09324444
       -4.89446235       10.22541363        0.26475264        9.46043386        0.42925352        0.07097362
       -4.87776786       13.19058792        0.42594900       11.73004210        0.88501076        0.14958605
       -4.86107337        8.09627949        0.20238646        7.44785550        0.38038161        0.06565593
       -4.84437888        8.99551235        0.22191814        8.33242254        0.37515573        0.06601593
       -4.82768439       12.03132909        0.25804744       11.29132287        0.40671022        0.07524856
       -4.81098990       10.56417561        0.27389550        9.84032120        0.38008790        0.06987101
       -4.79429540       11.68206839        0.44281742       10.76674906        0.39516493        0.07733699
       -4.77760091       13.23267307        0.48853254       12.18082396        0.47089763        0.09241893
       -4.76090642       10.85102611        0.39053249        9.93333701        0.44496401        0.08219259
       -4.74421193       11.17611176        0.40686174       10.20975152        0.47166065        0.08783785
       -4.72751744       11.77508548        0.45442632       10.69870776        0.52243588        0.09951552
       -4.71082295       10.69777968        0.48841081        9.62190083        0.49295466        0.09451338
       -4.69412846        9.92836045        0.50809046        8.89111928        0.44213934        0.08701137
       -4.67743397        9.22594140        0.51752675        8.22285393        0.40448395        0.08107676
       -4.66073948       11.91167621        0.70791268       10.52244020        0.56791567        0.11340766
       -4.64404499       13.85972053        0.78359035       12.22375598        0.71396111        0.13841308
       -4.62735050       14.14099482        0.74643071       12.63952239        0.63306730        0.12197442
       -4.61065601       17.22989878        0.81147468       15.48130027        0.79486691        0.14225691
       -4.59396151       19.47056537        0.92103770       17.53181350        0.86745065        0.15026352
       -4.57726702       18.56107726        0.86773439       16.69561612        0.86727916        0.13044759
       -4.56057253       23.06526011        1.04708801       20.77276144        1.10554486        0.13986580
       -4.54387804       25.43423843        1.06414229       23.08182581        1.15133590        0.13693444
       -4.52718355       20.83816921        0.81585923       18.99581882        0.90803156        0.11845960
       -4.51048906       25.06597618        0.63974113       23.20495589        1.01837292        0.20290624
       -4.49379457       34.16719963        0.84094557       31.64605237        1.42392083        0.25628086
       -4.47710008       42.59588667        1.11589622       39.31772865        1.85156409        0.31069770
       -4.46040559       69.90316524        2.37114464       64.11125495        3.00353974        0.41722591
       -4.44371110       45.44032560        1.23973908       42.12962739        1.82221938        0.24873975
       -4.42701661       51.12517410        1.42761750       47.25267066        2.13312543        0.31176051
       -4.41032212       42.88249811        1.08133688       39.89847869        1.66811605        0.23456649
       -4.39362763       45.67962272        1.19081130       42.29380634        1.88985071        0.30515437
       -4.37693313       69.94518919        1.55137757       65.12642069        2.78609193        0.48129901
       -4.36023864       41.68425819        0.83796881       38.87675393        1.65381645        0.31571900
       -4.34354415       32.70761166        0.72543267       30.38029545        1.38965233        0.21223122
       -4.32684966       35.14358957        0.75005698       32.47329695        1.63504217        0.28519346
       -4.31015517       38.66445125        0.80799059       35.86151435        1.71737081        0.27757550
       -4.29346068       27.32610896        0.55157067       25.37730185        1.20268809        0.19454835
       -4.27676619       28.31621139        0.64755777       26.28993855        1.20794664        0.17076842
       -4.26007170       20.19987400        0.42479987       18.56053125        1.02555789        0.18898499
       -4.24337721       29.25442472        0.74291364       26.89640829        1.41011526        0.20498754
       -4.22668272       29.07967599        0.68227231       26.82056567        1.35521111        0.22162689
       -4.20998823       25.33961609        0.45950050       23.15821958        1.44046412        0.28143189
       -4.19329374       25.43443094        0.58339037       23.35798525        1.27861761        0.21443771
       -4.17659924       24.81237600        0.56581988       22.93166233        1.18421464        0.13067915
       -4.15990475       31.07802531        0.62435775       28.47897019        1.70334898        0.27134839
       -4.14321026       28.29684793        0.56176839       26.13557760        1.38197012        0.21753181
       -4.12651577       30.25949220        0.60675269       28.19219747        1.28129803        0.17924400
       -4.10982128       39.15473808        0.79372180       36.43990215        1.69468034        0.22643378
       -4.09312679       36.52932169        0.67734588       33.80478748        1.78411312        0.26307520
       -4.07643230       34.12138386        0.60448544       31.71327080        1.58683873        0.21678890
       -4.05973781       35.18299324        0.62576451       32.60066599        1.71933736        0.23722539
       -4.04304332       32.69298185        0.56026096       30.26042524        1.61084292        0.26145273
       -4.02634883       32.83287518        0.52478279       30.43677620        1.59083497        0.28048123
       -4.00965434       31.33605225        0.47964718       29.13590614        1.46167962        0.25881930
       -3.99295985       29.32960629        0.46702964       27.23569521        1.38690851        0.23997293
       -3.97626535       25.77432925        0.40441120       23.87098319        1.27617541        0.22275946
       -3.95957086       24.04508388        0.37413180       22.17581001        1.27493146        0.22021061
       -3.94287637       26.02639160        0.37323410       24.03683869        1.37708393        0.23923489
       -3.92618188       21.83550276        0.31223798       20.16191266        1.15372897        0.20762314
       -3.90948739       22.34682535        0.32912459       20.61169673        1.18939143        0.21661260
       -3.89279290       20.29231133        0.26965504       18.74076202        1.08733446        0.19455981
       -3.87609841       17.05692006        0.25689463       15.69265178        0.95159818        0.15577548
       -3.85940392       16.78992990        0.26241274       15.41322939        0.96081624        0.15347152
       -3.84270943       15.86364320        0.24229053       14.55567895        0.91043293        0.15524079
       -3.82601494       13.74568419        0.22406003       12.54614822        0.83995726        0.13551868
       -3.80932045       13.09745126        0.22764921       11.92417057        0.82328538        0.12234610
       -3.79262596       12.65401913        0.21427638       11.50813371        0.81553108        0.11607795
       -3.77593146       11.74054283        0.19654605       10.65935479        0.77902481        0.10561717
       -3.75923697       13.51850228        0.22032674       12.25363605        0.92260061        0.12193887
       -3.74254248       15.42633905        0.23743625       14.03373928        1.01700489        0.13815863
       -3.72584799       15.78988711        0.23286691       14.43047187        0.98180754        0.14474080
       -3.70915350       17.13116562        0.25707837       15.65518840        1.05376692        0.16513193
       -3.69245901       17.42412246        0.27977839       15.91207310        1.06802673        0.16424425
       -3.67576452       15.88286219        0.25926625       14.45277976        1.02176883        0.14904736
       -3.65907003       18.22536020        0.25746366       16.55701412        1.21635710        0.19452532
       -3.64237554       19.21093512        0.25393433       17.42516717        1.33383656        0.19799707
       -3.62568105       15.84116365        0.21295596       14.42352983        1.03986508        0.16481278
       -3.60898656       16.20866018        0.18507896       14.74629953        1.10135057        0.17593112
       -3.59229207       21.01126085        0.23951506       19.04211558        1.49741279        0.23221742
       -3.57559758       28.50302370        0.37278354       26.15983775        1.65972880        0.31067361
       -3.55890308       12.99844609        0.14401803       11.74384166        0.94024573        0.17034067
       -3.54220859       12.88361714        0.12668801       11.61348581        0.98087465        0.16256867
       -3.52551410       11.20792166        0.11114801       10.05730703        0.90931587        0.13015074
       -3.50881961        7.67384728        0.05489878        6.88472327        0.64287927        0.09134597
       -3.49212512        8.70233202        0.11613055        7.86837206        0.61622710        0.10160232
       -3.47543063       12.07428787        0.14876539       10.88431456        0.89854637        0.14266155
       -3.45873614       16.87718090        0.19808502       15.22815443        1.23226335        0.21867810
       -3.44204165       20.44958095        0.26294717       18.36002372        1.56233310        0.26427695
       -3.42534716       22.05402415        0.26693952       19.99581478        1.54418276        0.24708710
       -3.40865267       18.79746855        0.19085495       16.89641769        1.43197980        0.27821611
       -3.39195818       17.75033539        0.20791601       16.01121530        1.29314825        0.23805583
