#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        8.98225081        0.56464761        8.02819435        0.33977562        0.04963323
       -9.98330551       14.43294298        0.53415127       13.34785558        0.48133504        0.06960109
       -9.96661102       10.96495046        0.38970438        9.89465906        0.58734258        0.09324444
       -9.94991653       10.22541363        0.26475264        9.46043386        0.42925352        0.07097362
       -9.93322204       13.19058792        0.42594900       11.73004210        0.88501076        0.14958605
       -9.91652755        8.09627949        0.20238646        7.44785550        0.38038161        0.06565593
       -9.89983306        8.99551235        0.22191814        8.33242254        0.37515573        0.06601593
       -9.88313856       12.03132909        0.25804744       11.29132287        0.40671022        0.07524856
       -9.86644407       10.56417561        0.27389550        9.84032120        0.38008790        0.06987101
       -9.84974958       11.68206839        0.44281742       10.76674906        0.39516493        0.07733699
       -9.83305509       13.23267307        0.48853254       12.18082396        0.47089763        0.09241893
       -9.81636060       10.85102611        0.39053249        9.93333701        0.44496401        0.08219259
       -9.79966611       11.17611176        0.40686174       10.20975152        0.47166065        0.08783785
       -9.78297162       11.77508548        0.45442632       10.69870776        0.52243588        0.09951552
       -9.76627713       10.69777968        0.48841081        9.62190083        0.49295466        0.09451338
       -9.74958264        9.92836045        0.50809046        8.89111928        0.44213934        0.08701137
       -9.73288815        9.22594140        0.51752675        8.22285393        0.40448395        0.08107676
       -9.71619366       11.91167621        0.70791268       10.52244020        0.56791567        0.11340766
       -9.69949917       13.85972053        0.78359035       12.22375598        0.71396111        0.13841308
       -9.68280467       14.14099482        0.74643071       12.63952239        0.63306730        0.12197442
       -9.66611018       17.22989878        0.81147468       15.48130027        0.79486691        0.14225691
       -9.64941569       19.47056537        0.92103770       17.53181350        0.86745065        0.15026352
       -9.63272120       18.56107726        0.86773439       16.69561612        0.86727916        0.13044759
       -9.61602671       23.06526011        1.04708801       20.77276144        1.10554486        0.13986580
       -9.59933222       25.43423843        1.06414229       23.08182581        1.15133590        0.13693444
       -9.58263773       20.83816921        0.81585923       18.99581882        0.90803156        0.11845960
       -9.56594324       25.06597618        0.63974113       23.20495589        1.01837292        0.20290624
       -9.54924875       34.16719963        0.84094557       31.64605237        1.42392083        0.25628086
       -9.53255426       42.59588667        1.11589622       39.31772865        1.85156409        0.31069770
       -9.51585977       69.90316524        2.37114464       64.11125495        3.00353974        0.41722591
       -9.49916528       45.44032560        1.23973908       42.12962739        1.82221938        0.24873975
       -9.48247078       51.12517410        1.42761750       47.25267066        2.13312543        0.31176051
       -9.46577629       42.88249811        1.08133688       39.89847869        1.66811605        0.23456649
       -9.44908180       45.67962272        1.19081130       42.29380634        1.88985071        0.30515437
       -9.43238731       69.94518919        1.55137757       65.12642069        2.78609193        0.48129901
       -9.41569282       41.68425819        0.83796881       38.87675393        1.65381645        0.31571900
