#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.055454 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.94454582        4.28634344        0.30844756        0.37423299        3.45212292        0.14630255        0.00523741
       -4.92785133        6.54301206        0.24326542        0.61109152        5.42825269        0.25246029        0.00794215
       -4.91115684        7.42783563        0.71842682        0.39519672        6.11501343        0.18475827        0.01444039
       -4.89446235        6.06789055        0.43358811        0.43111539        5.00769000        0.18570706        0.00978999
       -4.87776786       10.77739437        0.97344533        0.48847761        9.09241783        0.19927490        0.02377871
       -4.86107337        5.31060732        0.42674283        0.28889132        4.43474013        0.15072429        0.00950876
       -4.84437888        5.50365586        0.34970869        0.32905070        4.64619196        0.16980392        0.00890058
       -4.82768439        6.62337753        0.28747944        0.45473053        5.63416002        0.23775095        0.00925659
       -4.81098990        5.91654979        0.26494120        0.41020679        5.03027694        0.20209978        0.00902507
       -4.79429540        6.15246399        0.23156377        0.51340272        5.18506080        0.21240477        0.01003193
       -4.77760091        7.16799226        0.30808783        0.57971295        6.02704776        0.24080736        0.01233635
       -4.76090642        6.29747072        0.33214022        0.45760926        5.30281549        0.19331449        0.01159126
       -4.74421193        6.59746221        0.35362394        0.46877652        5.56557298        0.19694616        0.01254261
       -4.72751744        7.19789151        0.40122475        0.49930936        6.08060149        0.20223323        0.01452268
       -4.71082295        6.57030242        0.39264765        0.47439236        5.51439907        0.17490876        0.01395458
       -4.69412846        5.88385184        0.33629862        0.46091635        4.91681704        0.15719927        0.01262057
       -4.67743397        5.34812432        0.30073619        0.44136093        4.45202416        0.14230307        0.01169997
       -4.66073948        7.21197938        0.44908265        0.58927047        5.98107023        0.17565701        0.01689902
       -4.64404499        8.70021483        0.56410395        0.75473805        7.16013534        0.19990776        0.02132973
       -4.62735050        7.88202197        0.41942751        0.81816190        6.41361701        0.21258957        0.01822597
       -4.61065601        9.52874125        0.50294957        1.04713798        7.69544232        0.26074326        0.02246811
       -4.59396151       10.18882726        0.43085769        1.30183633        8.15012378        0.28151354        0.02449592
       -4.57726702        9.22630764        0.31065331        1.49309158        7.16545188        0.23287421        0.02423667
       -4.56057253       10.37269019        0.21699554        2.26787662        7.60851708        0.25033891        0.02896205
       -4.54387804       11.65732194        0.18284543        2.11120985        9.07875145        0.24700434        0.03751087
       -4.52718355        9.79410123        0.13144320        1.54050632        7.88703758        0.20217737        0.03293676
       -4.51048906       13.66944738        0.06963377        1.56094385       11.79623451        0.18503491        0.05760034
       -4.49379457       18.52503994        0.12402995        2.16340850       15.91009104        0.24936666        0.07814379
       -4.47710008       23.21099005        0.22697683        2.64079948       19.93672204        0.30986703        0.09662467
       -4.46040559       33.56761498        0.47038319        5.27640915       27.13311657        0.55016275        0.13754332
       -4.44371110       23.02004070        0.22553354        2.31008195       19.96943417        0.42641583        0.08857522
       -4.42701661       27.09507626        0.40673825        2.41229523       23.65986260        0.51507481        0.10110537
       -4.41032212       21.38800464        0.14283769        2.04052453       18.68496869        0.43875039        0.08092334
       -4.39362763       24.68392394        0.15601383        2.15501087       21.89683346        0.37278610        0.10327967
       -4.37693313       34.60644205        0.23391485        4.54665340       29.07742321        0.59646011        0.15199048
       -4.36023864       22.87691180        0.07890103        1.97994194       20.40576487        0.30802776        0.10427621
       -4.34354415       17.34502445        0.09850137        1.79475365       15.13505124        0.23902036        0.07769783
       -4.32684966       21.02800301        0.24711874        1.57793217       18.81964638        0.29514322        0.08816251
       -4.31015517       21.51800900        0.17454292        1.58898908       19.24603371        0.42759917        0.08084412
       -4.29346068       14.58320371        0.17533035        1.37922681       12.64615033        0.32822704        0.05426918
       -4.27676619       13.78985374        0.12996762        1.82163081       11.52712912        0.24979373        0.06133246
       -4.26007170       13.11782057        0.24823609        0.82436856       11.78997111        0.20251567        0.05272913
       -4.24337721       16.69570464        0.15022115        1.02900027       15.12554216        0.33055729        0.06038378
       -4.22668272       16.83054425        0.26108273        0.98204721       15.15635610        0.36962770        0.06143051
       -4.20998823       18.79534608        0.26874662        0.66137893       17.51916437        0.27518160        0.07087455
       -4.19329374       14.95924766        0.27848859        1.43223438       12.92838837        0.25870031        0.06143602
       -4.17659924       11.18633451        0.04168453        1.98749304        8.89452744        0.21637861        0.04625090
       -4.15990475       19.79396599        0.27585527        1.56918304       17.56898456        0.30162740        0.07831572
       -4.14321026       16.02855505        0.24244906        1.49263523       13.92669952        0.30136930        0.06540194
       -4.12651577       13.74584454        0.09167354        2.29719215       11.03763636        0.25236219        0.06698030
       -4.10982128       17.15990341        0.13068039        3.39650418       13.23811452        0.30928495        0.08531938
       -4.09312679       18.76573918        0.13311654        2.73706323       15.49676168        0.31405771        0.08474002
       -4.07643230       15.73072506        0.12185383        2.90542763       12.34648588        0.28008381        0.07687391
       -4.05973781       17.02269072        0.11918578        2.71001701       13.78059853        0.33726468        0.07562471
       -4.04304332       17.59576710        0.10865934        2.16626928       14.90875338        0.33579877        0.07628633
       -4.02634883       18.00982651        0.11468119        1.95777483       15.48323709        0.37906800        0.07506541
       -4.00965434       16.52953846        0.10488447        1.80788142       14.16443841        0.38453165        0.06780251
       -3.99295985       15.33039145        0.11213138        1.73707550       13.05454034        0.36502326        0.06162096
       -3.97626535       14.27761484        0.09980645        1.39856208       12.40208096        0.32180513        0.05536020
       -3.95957086       13.34702060        0.12344628        1.46448150       11.41354789        0.29465233        0.05089260
       -3.94287637       14.25194368        0.12539096        1.50481805       12.22392909        0.34544629        0.05235929
       -3.92618188       12.36156334        0.10373218        1.12577361       10.79471950        0.29207561        0.04526245
       -3.90948739       12.79857435        0.10325406        1.07518493       11.27025024        0.30352057        0.04636455
       -3.89279290       11.79404539        0.07048012        0.85327812       10.53416853        0.29528190        0.04083671
       -3.87609841        9.76585049        0.07248501        0.75780418        8.64320404        0.26138190        0.03097536
