#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        4.28634344        0.30844756        0.37423299        3.45212292        0.14630255        0.00523741
       -9.98330551        6.54301206        0.24326542        0.61109152        5.42825269        0.25246029        0.00794215
       -9.96661102        7.42783563        0.71842682        0.39519672        6.11501343        0.18475827        0.01444039
       -9.94991653        6.06789055        0.43358811        0.43111539        5.00769000        0.18570706        0.00978999
       -9.93322204       10.77739437        0.97344533        0.48847761        9.09241783        0.19927490        0.02377871
       -9.91652755        5.31060732        0.42674283        0.28889132        4.43474013        0.15072429        0.00950876
       -9.89983306        5.50365586        0.34970869        0.32905070        4.64619196        0.16980392        0.00890058
       -9.88313856        6.62337753        0.28747944        0.45473053        5.63416002        0.23775095        0.00925659
       -9.86644407        5.91654979        0.26494120        0.41020679        5.03027694        0.20209978        0.00902507
       -9.84974958        6.15246399        0.23156377        0.51340272        5.18506080        0.21240477        0.01003193
       -9.83305509        7.16799226        0.30808783        0.57971295        6.02704776        0.24080736        0.01233635
       -9.81636060        6.29747072        0.33214022        0.45760926        5.30281549        0.19331449        0.01159126
       -9.79966611        6.59746221        0.35362394        0.46877652        5.56557298        0.19694616        0.01254261
       -9.78297162        7.19789151        0.40122475        0.49930936        6.08060149        0.20223323        0.01452268
       -9.76627713        6.57030242        0.39264765        0.47439236        5.51439907        0.17490876        0.01395458
       -9.74958264        5.88385184        0.33629862        0.46091635        4.91681704        0.15719927        0.01262057
       -9.73288815        5.34812432        0.30073619        0.44136093        4.45202416        0.14230307        0.01169997
       -9.71619366        7.21197938        0.44908265        0.58927047        5.98107023        0.17565701        0.01689902
       -9.69949917        8.70021483        0.56410395        0.75473805        7.16013534        0.19990776        0.02132973
       -9.68280467        7.88202197        0.41942751        0.81816190        6.41361701        0.21258957        0.01822597
       -9.66611018        9.52874125        0.50294957        1.04713798        7.69544232        0.26074326        0.02246811
       -9.64941569       10.18882726        0.43085769        1.30183633        8.15012378        0.28151354        0.02449592
       -9.63272120        9.22630764        0.31065331        1.49309158        7.16545188        0.23287421        0.02423667
       -9.61602671       10.37269019        0.21699554        2.26787662        7.60851708        0.25033891        0.02896205
       -9.59933222       11.65732194        0.18284543        2.11120985        9.07875145        0.24700434        0.03751087
       -9.58263773        9.79410123        0.13144320        1.54050632        7.88703758        0.20217737        0.03293676
       -9.56594324       13.66944738        0.06963377        1.56094385       11.79623451        0.18503491        0.05760034
       -9.54924875       18.52503994        0.12402995        2.16340850       15.91009104        0.24936666        0.07814379
       -9.53255426       23.21099005        0.22697683        2.64079948       19.93672204        0.30986703        0.09662467
       -9.51585977       33.56761498        0.47038319        5.27640915       27.13311657        0.55016275        0.13754332
       -9.49916528       23.02004070        0.22553354        2.31008195       19.96943417        0.42641583        0.08857522
       -9.48247078       27.09507626        0.40673825        2.41229523       23.65986260        0.51507481        0.10110537
       -9.46577629       21.38800464        0.14283769        2.04052453       18.68496869        0.43875039        0.08092334
       -9.44908180       24.68392394        0.15601383        2.15501087       21.89683346        0.37278610        0.10327967
       -9.43238731       34.60644205        0.23391485        4.54665340       29.07742321        0.59646011        0.15199048
       -9.41569282       22.87691180        0.07890103        1.97994194       20.40576487        0.30802776        0.10427621
       -9.39899833       17.34502445        0.09850137        1.79475365       15.13505124        0.23902036        0.07769783
       -9.38230384       21.02800301        0.24711874        1.57793217       18.81964638        0.29514322        0.08816251
       -9.36560935       21.51800900        0.17454292        1.58898908       19.24603371        0.42759917        0.08084412
       -9.34891486       14.58320371        0.17533035        1.37922681       12.64615033        0.32822704        0.05426918
       -9.33222037       13.78985374        0.12996762        1.82163081       11.52712912        0.24979373        0.06133246
       -9.31552588       13.11782057        0.24823609        0.82436856       11.78997111        0.20251567        0.05272913
       -9.29883139       16.69570464        0.15022115        1.02900027       15.12554216        0.33055729        0.06038378
       -9.28213689       16.83054425        0.26108273        0.98204721       15.15635610        0.36962770        0.06143051
       -9.26544240       18.79534608        0.26874662        0.66137893       17.51916437        0.27518160        0.07087455
       -9.24874791       14.95924766        0.27848859        1.43223438       12.92838837        0.25870031        0.06143602
       -9.23205342       11.18633451        0.04168453        1.98749304        8.89452744        0.21637861        0.04625090
       -9.21535893       19.79396599        0.27585527        1.56918304       17.56898456        0.30162740        0.07831572
       -9.19866444       16.02855505        0.24244906        1.49263523       13.92669952        0.30136930        0.06540194
       -9.18196995       13.74584454        0.09167354        2.29719215       11.03763636        0.25236219        0.06698030
       -9.16527546       17.15990341        0.13068039        3.39650418       13.23811452        0.30928495        0.08531938
       -9.14858097       18.76573918        0.13311654        2.73706323       15.49676168        0.31405771        0.08474002
       -9.13188648       15.73072506        0.12185383        2.90542763       12.34648588        0.28008381        0.07687391
       -9.11519199       17.02269072        0.11918578        2.71001701       13.78059853        0.33726468        0.07562471
       -9.09849750       17.59576710        0.10865934        2.16626928       14.90875338        0.33579877        0.07628633
       -9.08180301       18.00982651        0.11468119        1.95777483       15.48323709        0.37906800        0.07506541
       -9.06510851       16.52953846        0.10488447        1.80788142       14.16443841        0.38453165        0.06780251
       -9.04841402       15.33039145        0.11213138        1.73707550       13.05454034        0.36502326        0.06162096
       -9.03171953       14.27761484        0.09980645        1.39856208       12.40208096        0.32180513        0.05536020
       -9.01502504       13.34702060        0.12344628        1.46448150       11.41354789        0.29465233        0.05089260
       -8.99833055       14.25194368        0.12539096        1.50481805       12.22392909        0.34544629        0.05235929
       -8.98163606       12.36156334        0.10373218        1.12577361       10.79471950        0.29207561        0.04526245
       -8.96494157       12.79857435        0.10325406        1.07518493       11.27025024        0.30352057        0.04636455
       -8.94824708       11.79404539        0.07048012        0.85327812       10.53416853        0.29528190        0.04083671
       -8.93155259        9.76585049        0.07248501        0.75780418        8.64320404        0.26138190        0.03097536
       -8.91485810        9.34904798        0.08990809        0.87185598        8.10059350        0.25731581        0.02937460
       -8.89816361        9.12469778        0.08660595        0.81439708        7.96557331        0.22742521        0.03069624
       -8.88146912        8.15997566        0.08143926        0.75223387        7.11262235        0.18681596        0.02686422
       -8.86477462        7.58889443        0.07882459        0.74576096        6.55335963        0.18776767        0.02318157
       -8.84808013        7.16023340        0.08244300        0.80001098        6.07290007        0.18368890        0.02119045
       -8.83138564        6.38618586        0.08362926        0.84617884        5.26579486        0.17221709        0.01836580
       -8.81469115        7.45775312        0.09782055        0.94996258        6.18391357        0.20532825        0.02072817
       -8.79799666        8.38007580        0.10931969        1.01991806        6.97779019        0.25009366        0.02295419
       -8.78130217        8.51351764        0.11158176        0.95569105        7.15260085        0.26926959        0.02437440
       -8.76460768        9.32633725        0.14220026        1.09592424        7.76853231        0.29128131        0.02839913
       -8.74791319        9.17936479        0.16391771        1.18393162        7.50475533        0.29917813        0.02758200
       -8.73121870        8.44379032        0.16133641        1.15626855        6.83222948        0.26950900        0.02444688
       -8.71452421       11.06204967        0.18993609        1.16618331        9.36166284        0.30864157        0.03562586
       -8.69782972       11.61315374        0.17588891        1.24780888        9.82800603        0.32799628        0.03345364
       -8.68113523        9.51778350        0.13984955        0.95959693        8.12258738        0.26619601        0.02955362
       -8.66444073       10.25061204        0.12073561        0.90892349        8.93027268        0.25788775        0.03279251
       -8.64774624       12.87916594        0.22075329        1.44533779       10.84093593        0.32807848        0.04406045
       -8.63105175       16.01376429        0.28650586        1.65590487       13.51220780        0.50109306        0.05805270
       -8.61435726        9.45087521        0.12877439        0.60297656        8.48061832        0.20108235        0.03742358
       -8.59766277        8.90417898        0.12557111        0.85836824        7.67703899        0.20959623        0.03360442
       -8.58096828        7.02463296        0.12981218        0.95347364        5.72676841        0.19316064        0.02141808
       -8.56427379        5.43106074        0.05276460        0.56944332        4.67206991        0.12050351        0.01627940
       -8.54757930        5.42485027        0.09901608        0.66508314        4.49952320        0.14348769        0.01774017
       -8.53088481        7.79179825        0.12260116        0.94108338        6.50579264        0.19717376        0.02514732
       -8.51419032       11.31420693        0.18899197        1.13813710        9.65345652        0.29238251        0.04123883
       -8.49749583       13.83000453        0.28330425        1.77908413       11.38883381        0.32990579        0.04887656
       -8.48080134       12.03672029        0.22942785        1.86940773        9.51284360        0.37934286        0.04569825
       -8.46410684       14.27080343        0.16661903        1.20460614       12.56246765        0.27238328        0.06472734
       -8.44741235       12.65847935        0.16509541        1.19248244       10.96488548        0.28579703        0.05021899
       -8.43071786        9.73781994        0.14006781        1.06140500        8.25531218        0.24433978        0.03669517
       -8.41402337        8.84602541        0.13403191        1.03998244        7.40539240        0.23686353        0.02975513
       -8.39732888       10.22875128        0.13367711        0.98926214        8.80417542        0.26626640        0.03537021
       -8.38063439       10.66546547        0.12801588        0.95209249        9.26772910        0.27957371        0.03805429
       -8.36393990       12.48124154        0.15738172        1.28968903       10.64990109        0.33532324        0.04894646
       -8.34724541       12.70982805        0.18769466        1.49349741       10.62542427        0.35392524        0.04928646
       -8.33055092       13.18444611        0.12959854        1.18557210       11.48313217        0.33363151        0.05251180
       -8.31385643       14.76219660        0.14207597        1.31226589       12.85685425        0.39163917        0.05936131
       -8.29716194       15.05684161        0.13854838        1.41299026       13.01610032        0.42551726        0.06368539
       -8.28046745       19.56141339        0.19978364        1.90280552       16.81551489        0.56707835        0.07623099
       -8.26377295       22.44545595        0.27842249        2.50380805       18.88332575        0.68968947        0.09021019
       -8.24707846       20.57350366        0.15427372        1.77437658       18.01152797        0.54284099        0.09048441
       -8.23038397       17.70698595        0.14844466        1.84752012       15.12296980        0.50210626        0.08594510
       -8.21368948       17.23193359        0.19832507        2.35279174       14.07119828        0.52784168        0.08177681
       -8.19699499       17.95625095        0.21799878        2.31783946       14.81590395        0.51683937        0.08766939
       -8.18030050       20.11223501        0.22379083        2.37098477       16.86519768        0.54632680        0.10593494
       -8.16360601       15.45744592        0.17375703        2.06883220       12.64173087        0.47370344        0.09942238
       -8.14691152       13.98161305        0.15361466        1.96198479       11.31644356        0.45512806        0.09444198
       -8.13021703       12.34194677        0.12527364        1.83188002        9.87049766        0.42210247        0.09219297
       -8.11352254       13.20933666        0.11177917        1.81491750       10.72212529        0.46510142        0.09541330
       -8.09682805       17.37967343        0.13597060        2.22388202       14.32691621        0.56726569        0.12563890
       -8.08013356       16.09684434        0.20420158        2.21546387       13.04231299        0.54775653        0.08710937
       -8.06343907       15.42875548        0.17969627        2.36523691       12.25389994        0.52861471        0.10130765
       -8.04674457       15.47592864        0.21962149        2.51915306       12.07286496        0.55842202        0.10586711
       -8.03005008       15.84563829        0.15194388        2.43819918       12.55160839        0.58601880        0.11786803
       -8.01335559       21.22962619        0.12990809        3.29908639       16.81844139        0.79430272        0.18788759
       -7.99666110       17.17356894        0.10253871        2.56806303       13.69572106        0.66292373        0.14432240
       -7.97996661       22.94082492        0.13462679        3.50695388       18.20571582        0.89903789        0.19449054
       -7.96327212       19.90175171        0.14465566        3.24004678       15.56573408        0.78998372        0.16133148
       -7.94657763       21.22063327        0.11527213        2.67946268       17.54372193        0.72681261        0.15536392
       -7.92988314       12.87930330        0.10701414        2.35324336        9.75318269        0.55797968        0.10788343
       -7.91318865       16.66756384        0.18709314        2.80749797       12.87515841        0.66602809        0.13178624
       -7.89649416       16.90231396        0.11675723        2.61767814       13.36938607        0.66133746        0.13715506
       -7.87979967       14.16149349        0.15410949        1.97815731       11.40916023        0.53025205        0.08981441
       -7.86310518       15.13661787        0.11403417        2.16735743       12.15155599        0.60144031        0.10222997
       -7.84641068       15.55307114        0.10464283        2.13855901       12.58827676        0.61874080        0.10285173
       -7.82971619       15.51284762        0.17524100        2.75721931       11.85023031        0.61738607        0.11277093
       -7.81302170       10.52768623        0.07303030        1.83132575        8.10237197        0.42946366        0.09149456
       -7.79632721        9.62817140        0.09682524        1.79746269        7.24312078        0.41286145        0.07790124
       -7.77963272        9.01378901        0.09358424        1.80059581        6.64821177        0.39174312        0.07965407
       -7.76293823        8.71399534        0.08164261        1.65479132        6.52372183        0.37870581        0.07513376
       -7.74624374        9.14044126        0.11258764        1.87871748        6.64028377        0.43966072        0.06919164
       -7.72954925        9.97471012        0.13339226        1.98180880        7.31509981        0.47446644        0.06994281
       -7.71285476        9.02972426        0.10917693        1.89537396        6.51568835        0.43800704        0.07147798
       -7.69616027        9.64429197        0.10688278        2.00862248        7.02621420        0.42039389        0.08217863
       -7.67946578        8.76655583        0.12476954        1.85885899        6.36771337        0.34999447        0.06521945
       -7.66277129        6.61095296        0.12769749        2.12395258        4.01066948        0.28874985        0.05988356
       -7.64607679        8.05185037        0.13477054        1.92403235        5.52984249        0.40259343        0.06061156
       -7.62938230        8.41810409        0.13730449        1.89116053        5.91397099        0.40910557        0.06656251
       -7.61268781       10.56733942        0.14216325        2.35602241        7.43945458        0.53769286        0.09200631
       -7.59599332        9.90523500        0.11072903        2.24741139        6.90141326        0.55618110        0.08950022
       -7.57929883        9.38241310        0.10387705        2.07151014        6.60894557        0.51594524        0.08213510
       -7.56260434        8.41420557        0.09411702        1.75474363        6.03562306        0.46305783        0.06666403
       -7.54590985        7.91199220        0.11174689        2.01459986        5.26783263        0.45161847        0.06619434
       -7.52921536        7.84108129        0.12473402        2.06672330        5.14838404        0.44084266        0.06039726
       -7.51252087        7.45610797        0.13058969        2.15791737        4.64687086        0.45738722        0.06334283
       -7.49582638        6.29291818        0.07813259        1.91334339        3.80801109        0.43000691        0.06342420
       -7.47913189        7.23032789        0.10564975        2.33247611        4.30316225        0.42577693        0.06326285
       -7.46243740        6.20623246        0.06000003        1.99768267        3.64959095        0.42745825        0.07150056
       -7.44574290        6.91000513        0.10631952        1.91827427        4.41718436        0.40634589        0.06188110
       -7.42904841        6.34250838        0.07300916        2.26528673        3.52628377        0.39604942        0.08187931
       -7.41235392        4.66604778        0.04768295        1.88569901        2.28890468        0.38018891        0.06357222
       -7.39565943        5.53878177        0.07097780        2.00275793        2.95277386        0.44429696        0.06797523
       -7.37896494        7.46339849        0.11563612        2.58993335        4.13896938        0.54310310        0.07575655
       -7.36227045       11.17764151        0.15352436        3.37355202        6.66755389        0.88170074        0.10131050
       -7.34557596        5.52957816        0.03022837        1.42126606        3.62827137        0.39153663        0.05827573
       -7.32888147        8.58612088        0.05322139        1.64945072        6.31530177        0.50217244        0.06597456
       -7.31218698       10.40026517        0.05416909        2.23995762        7.38324210        0.62509850        0.09779786
       -7.29549249        7.42093558        0.05028983        1.91402910        4.90191944        0.48221954        0.07247767
       -7.27879800        9.20449722        0.06562361        2.24963920        6.25135390        0.56327878        0.07460172
       -7.26210351        6.17570160        0.05898888        1.77073655        3.84053458        0.45371620        0.05172539
       -7.24540902        6.59060552        0.06309352        2.07584289        3.89992053        0.48785509        0.06389349
       -7.22871452        6.07286166        0.05518558        1.73698823        3.77445758        0.43962347        0.06660679
       -7.21202003       11.89384149        0.07708798        3.24590925        7.57739801        0.86930578        0.12414048
       -7.19532554        6.14003956        0.04773971        1.66380576        3.88221383        0.48460905        0.06167122
       -7.17863105        4.43024061        0.01460177        1.71724845        2.18644143        0.43934075        0.07260820
       -7.16193656        5.95273568        0.01185638        2.05853386        3.24956141        0.54643110        0.08635294
       -7.14524207        3.69245398        0.00899510        1.24748225        2.02703686        0.35758022        0.05135955
       -7.12854758        3.02894172        0.02262354        1.00470728        1.73716949        0.22612060        0.03832081
       -7.11185309        5.15052457        0.05766236        1.46734574        3.27517150        0.30937354        0.04097143
       -7.09515860        8.68807779        0.14035128        1.44500508        6.77588899        0.28507366        0.04175879
       -7.07846411       10.27242051        0.17145489        1.42334689        8.34882353        0.29679486        0.03200035
       -7.06176962       11.31831878        0.20774227        0.83821257       10.08404434        0.17397026        0.01434933
       -7.04507513       17.24115582        0.26568382        1.69005150       15.00498303        0.26290337        0.01753410
       -7.02838063       12.56987408        0.22878232        0.80915867       11.32623667        0.19186568        0.01383074
       -7.01168614       13.67163250        0.22741146        0.85416829       12.35063055        0.22445663        0.01496556
       -6.99499165       12.04284267        0.14159339        0.91123348       10.73403631        0.24019379        0.01578570
       -6.97829716       16.08662173        0.28180667        1.23714609       14.28138945        0.26866143        0.01761808
       -6.96160267       14.64126714        0.29256706        1.05402750       13.05999798        0.22044097        0.01423364
       -6.94490818       19.83499140        0.43335755        1.24447025       17.89519662        0.24376388        0.01820310
       -6.92821369       15.31965770        0.27080320        1.02012777       13.77257093        0.24007900        0.01607680
       -6.91151920       18.82322635        0.37067855        1.15325354       17.02066493        0.26082190        0.01780744
       -6.89482471       21.51660449        0.35873206        1.08284853       19.69823511        0.35334639        0.02344241
       -6.87813022       29.84853135        0.46226877        1.70910416       27.21525364        0.43177820        0.03012658
       -6.86143573       18.50411044        0.21526847        1.03957093       16.81544256        0.40817951        0.02564898
       -6.84474124       36.67588565        0.40449019        1.36129600       34.17999723        0.68603147        0.04407076
       -6.82804674       28.58683017        0.39209755        1.58541282       25.99782576        0.57562113        0.03587291
       -6.81135225       24.65819079        0.28807498        1.33720520       22.46781821        0.53607060        0.02902179
       -6.79465776       30.98958847        0.40926599        1.84447189       28.20303195        0.49904104        0.03377761
       -6.77796327       31.82480263        0.43389821        2.38090503       28.43383202        0.54375522        0.03241213
       -6.76126878       24.16035049        0.36998352        1.99925092       21.31521462        0.45110359        0.02479784
       -6.74457429       19.09106868        0.25455892        0.95998971       17.48406814        0.37158543        0.02086648
       -6.72787980       20.36752852        0.29892986        1.17974729       18.52410188        0.34318203        0.02156746
       -6.71118531       24.14992273        0.31947610        1.65463176       21.66777394        0.48398523        0.02405570
       -6.69449082       23.54410328        0.28461595        2.03086942       20.71716978        0.48240835        0.02903978
       -6.67779633       41.10818802        0.53605690        2.67014228       37.17033824        0.68994519        0.04170540
       -6.66110184       22.93808352        0.33802694        1.58082918       20.65564325        0.34182982        0.02175433
       -6.64440735       12.70084320        0.19008597        0.54861960       11.74977430        0.19910335        0.01325998
       -6.62771285       25.05031817        0.34944362        1.07620263       23.16338972        0.43546427        0.02581793
       -6.61101836       21.64021466        0.30520578        1.79067082       19.07911480        0.44166175        0.02356151
       -6.59432387       33.29425909        0.38674270        0.96328007       31.27593001        0.62981980        0.03848651
       -6.57762938       29.81329075        0.46894276        1.27266066       27.50405762        0.53453167        0.03309803
       -6.56093489       29.55289900        0.38945617        1.94499555       26.55851972        0.62491807        0.03500948
       -6.54424040       25.42920542        0.39183213        1.24359246       23.22915485        0.53634356        0.02828242
       -6.52754591       20.75201979        0.30780122        0.78126777       19.26203548        0.37910499        0.02181033
       -6.51085142       21.25382408        0.33176530        1.19479523       19.35164275        0.35319510        0.02242570
       -6.49415693       22.82594373        0.36990806        1.30490703       20.73911285        0.38843085        0.02358494
       -6.47746244       31.89224068        0.51166391        0.99007735       29.68573771        0.67399049        0.03077123
       -6.46076795       18.16505091        0.31018438        0.75661998       16.72141259        0.35990379        0.01693017
       -6.44407346       13.67603518        0.23743838        0.52047387       12.60590545        0.29905003        0.01316745
       -6.42737896       17.31350694        0.27078299        0.84228277       15.80354672        0.37908687        0.01780759
       -6.41068447       18.76324975        0.29261116        0.85668184       17.22484236        0.36973680        0.01937759
       -6.39398998       14.24117327        0.19247422        1.01296998       12.76150743        0.26015391        0.01406774
       -6.37729549       20.31267151        0.36590946        0.95285351       18.62735083        0.34545857        0.02109914
       -6.36060100       19.80757204        0.39645910        1.16554614       17.78827521        0.43568810        0.02160349
       -6.34390651       11.23929173        0.17961748        0.61401801       10.20338764        0.23036871        0.01189989
       -6.32721202       13.93181339        0.21594604        0.45348224       13.01002590        0.23835769        0.01400153
       -6.31051753       11.61442082        0.19731273        0.50566924       10.68179475        0.21804420        0.01159990
       -6.29382304       19.75778770        0.31373675        0.94516817       18.12049784        0.35830960        0.02007535
       -6.27712855       18.05050339        0.32229595        0.48906879       16.99911610        0.22062679        0.01939576
       -6.26043406       17.53063168        0.31121776        0.34326770       16.65103945        0.20776845        0.01733832
       -6.24373957       16.50371161        0.24979862        0.35057504       15.65157361        0.23487450        0.01688983
       -6.22704508       22.65538581        0.38324110        0.83984475       20.99990019        0.40964937        0.02275039
       -6.21035058       17.70161020        0.32106758        0.65285026       16.36955294        0.34083947        0.01729995
       -6.19365609       11.83668152        0.21845814        0.52636975       10.83427653        0.24627607        0.01130104
       -6.17696160        8.99758127        0.16255799        0.35408299        8.29243752        0.17970160        0.00880119
       -6.16026711       12.40619488        0.23853574        0.32713971       11.64271954        0.18496594        0.01283396
       -6.14357262       15.71106003        0.29788447        0.71451448       14.33625565        0.34700293        0.01540249
       -6.12687813       12.05517538        0.17512576        0.34322990       11.32198577        0.20189596        0.01293799
       -6.11018364       10.46810465        0.20218728        0.19803646        9.96681915        0.08929861        0.01176315
       -6.09348915       16.05932011        0.33329763        0.25605539       15.32141707        0.13047898        0.01807104
       -6.07679466       19.68478080        0.43267401        0.22999605       18.81769862        0.18412768        0.02028444
       -6.06010017        6.22866298        0.12834782        0.14918912        5.87210874        0.07211827        0.00689903
       -6.04340568       15.22590633        0.30926736        0.36173710       14.37525171        0.16186006        0.01779010
       -6.02671119        6.53853455        0.15287013        0.05506157        6.28371313        0.03916214        0.00772758
       -6.01001669        9.12615662        0.21933557        0.07118559        8.76153472        0.06304273        0.01105801
       -5.99332220        8.50566426        0.21339432        0.01090756        8.24616830        0.02409304        0.01110104
       -5.97662771        2.54811688        0.05191040        0.05813170        2.40021968        0.03496127        0.00289383
       -5.95993322        4.93028986        0.07670700        0.19538532        4.52732287        0.12630963        0.00456504
       -5.94323873        8.66501853        0.10854587        0.41677876        7.91496906        0.21611586        0.00860898
       -5.92654424        3.06392022        0.04923664        0.11377884        2.81520122        0.08305571        0.00264782
       -5.90984975        2.09905933        0.03067435        0.07706417        1.93395676        0.05547740        0.00188665
       -5.89315526        2.67509406        0.03605689        0.10249268        2.46437383        0.06969375        0.00247691
       -5.87646077        3.19663569        0.04089741        0.12396110        2.94518462        0.08362619        0.00296638
       -5.85976628       11.27818431        0.14704832        0.41324556       10.40608104        0.30178031        0.01002909
       -5.84307179        4.73577151        0.04776173        0.18915269        4.37262080        0.12162005        0.00461624
       -5.82637730        0.65019261        0.00566905        0.02827865        0.59926549        0.01630766        0.00067176
       -5.80968280        0.36908224        0.00392340        0.01261075        0.34282067        0.00937361        0.00035381
       -5.79298831        0.94591332        0.00957854        0.03365040        0.87680664        0.02500332        0.00087442
       -5.77629382        0.00207200        0.00003576        0.00008370        0.00190969        0.00003853        0.00000433
       -5.75959933        0.01802231        0.00007776        0.00073580        0.01675858        0.00042916        0.00002100
       -5.74290484        1.89238065        0.00593469        0.07861049        1.75899253        0.04675798        0.00208495
       -5.72621035        1.43585008        0.00361605        0.05780218        1.33630444        0.03662307        0.00150436
       -5.70951586        1.61209516        0.00180279        0.06615990        1.50192343        0.04045051        0.00175853
       -5.69282137        0.13176435        0.00007623        0.00542639        0.12288957        0.00322044        0.00015172
       -5.67612688        0.00208851        0.00003436        0.00012739        0.00185991        0.00006128        0.00000558
       -5.65943239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.64273790        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.62604341        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.60934891        0.00099027        0.00002277        0.00000812        0.00095119        0.00000635        0.00000184
       -5.59265442        0.00130642        0.00003075        0.00001284        0.00125109        0.00000924        0.00000249
       -5.57595993        0.00141980        0.00003464        0.00001758        0.00135329        0.00001147        0.00000282
       -5.55926544        0.00244385        0.00006475        0.00004462        0.00230457        0.00002456        0.00000534
       -5.54257095        0.00332510        0.00009642        0.00009062        0.00308694        0.00004301        0.00000810
       -5.52587646        0.00255460        0.00008535        0.00011140        0.00230082        0.00004989        0.00000714
       -5.50918197        0.00185679        0.00006161        0.00008061        0.00167377        0.00003566        0.00000513
       -5.49248748        0.00142349        0.00005860        0.00009018        0.00123520        0.00003488        0.00000463
       -5.47579299        0.00147402        0.00007515        0.00013365        0.00121440        0.00004524        0.00000558
       -5.45909850        0.00020304        0.00000708        0.00001249        0.00017830        0.00000438        0.00000079
       -5.44240401        0.00071033        0.00003170        0.00005687        0.00059795        0.00002098        0.00000283
       -5.42570952        0.00073003        0.00003398        0.00006953        0.00060033        0.00002310        0.00000309
       -5.40901503        0.00048895        0.00002284        0.00004755        0.00040090        0.00001560        0.00000206
       -5.39232053        0.00028172        0.00001290        0.00002706        0.00023139        0.00000914        0.00000122
       -5.37562604        0.00034739        0.00001653        0.00003166        0.00028622        0.00001154        0.00000144
       -5.35893155        0.00023768        0.00001114        0.00002188        0.00019570        0.00000796        0.00000100
       -5.34223706        0.00020477        0.00000970        0.00001885        0.00016847        0.00000690        0.00000086
       -5.32554257        0.00020189        0.00000997        0.00001843        0.00016576        0.00000689        0.00000084
       -5.30884808        0.00014177        0.00000720        0.00001284        0.00011659        0.00000458        0.00000056
       -5.29215359        0.00015432        0.00000781        0.00001461        0.00012656        0.00000475        0.00000060
       -5.27545910        0.00009745        0.00000485        0.00000959        0.00007967        0.00000296        0.00000038
       -5.25876461        0.00008276        0.00000410        0.00000816        0.00006772        0.00000246        0.00000032
       -5.24207012        0.00007413        0.00000364        0.00000736        0.00006067        0.00000217        0.00000028
       -5.22537563        0.00006562        0.00000322        0.00000646        0.00005379        0.00000190        0.00000025
       -5.20868114        0.00005333        0.00000262        0.00000516        0.00004382        0.00000153        0.00000020
       -5.19198664        0.00004500        0.00000221        0.00000431        0.00003706        0.00000127        0.00000016
       -5.17529215        0.00003813        0.00000186        0.00000360        0.00003148        0.00000105        0.00000014
       -5.15859766        0.00003152        0.00000153        0.00000294        0.00002610        0.00000085        0.00000011
       -5.14190317        0.00002518        0.00000121        0.00000231        0.00002091        0.00000067        0.00000009
       -5.12520868        0.00001886        0.00000089        0.00000171        0.00001571        0.00000049        0.00000006
       -5.10851419        0.00000904        0.00000042        0.00000081        0.00000755        0.00000023        0.00000003
       -5.09181970        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.07512521        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.05843072        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.04173623        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.02504174        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.00834725        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.99165275        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.97495826        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.95826377        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.94156928        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.92487479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.90818030        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.89148581        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.87479132        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.85809683        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.84140234        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
