#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species H as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.055454 eV
#      Energy (eV)         total dos     l= 0              l= 1
       -4.94454582        8.50031435        8.37746896        0.12284538
       -4.92785133      316.05181420      311.45529227        4.59652193
       -4.91115684       23.63185848       23.28965284        0.34220564
       -4.89446235       62.78215447       61.88214470        0.90000977
       -4.87776786       48.35794691       47.63454641        0.72340049
       -4.86107337        3.71447906        3.65897555        0.05550351
       -4.84437888        2.40165132        2.36554932        0.03610199
       -4.82768439        1.51638870        1.49328151        0.02310718
       -4.81098990        0.97149218        0.95655702        0.01493515
       -4.79429540        0.67668749        0.66613391        0.01055358
       -4.77760091        0.49025608        0.48244466        0.00781142
       -4.76090642        0.34560167        0.34002235        0.00557932
       -4.74421193        0.25303168        0.24882178        0.00420990
       -4.72751744        0.17591276        0.17286653        0.00304623
       -4.71082295        0.11257797        0.11053529        0.00204268
       -4.69412846        0.07223216        0.07081777        0.00141439
       -4.67743397        0.04151437        0.04059054        0.00092383
       -4.66073948        0.02453290        0.02382653        0.00070637
       -4.64404499        0.01679533        0.01616444        0.00063089
       -4.62735050        0.01608911        0.01534765        0.00074146
       -4.61065601        0.01765985        0.01677417        0.00088568
       -4.59396151        0.02076246        0.01966013        0.00110234
       -4.57726702        0.01692639        0.01604067        0.00088573
       -4.56057253        0.01949884        0.01847254        0.00102630
       -4.54387804        0.02270835        0.02150283        0.00120552
       -4.52718355        0.01897555        0.01794084        0.00103472
       -4.51048906        0.01741229        0.01646435        0.00094794
       -4.49379457        0.02603563        0.02458761        0.00144802
       -4.47710008        0.03383542        0.03203952        0.00179590
       -4.46040559        0.08812522        0.08405162        0.00407361
       -4.44371110        0.11785966        0.11289902        0.00496063
       -4.42701661        0.37293306        0.36355669        0.00937637
       -4.41032212        1.59412983        1.56846731        0.02566252
       -4.39362763        5.89492555        5.81229843        0.08262712
       -4.37693313       17.88121334       17.63756309        0.24365025
       -4.36023864       80.68560411       79.56712305        1.11848105
       -4.34354415       52.81921151       52.07044409        0.74876742
       -4.32684966       55.25986414       54.48396434        0.77589980
       -4.31015517       68.49175530       67.56171941        0.93003589
       -4.29346068       54.57463451       53.83082464        0.74380987
       -4.27676619       36.00167504       35.49511190        0.50656314
       -4.26007170        6.98371537        6.84409801        0.13961735
       -4.24337721        3.97197137        3.82936336        0.14260801
       -4.22668272        4.81758496        4.51758752        0.29999745
       -4.20998823       21.99121815       20.31124311        1.67997505
       -4.19329374       20.56079778       18.98394927        1.57684850
       -4.17659924       16.03666388       14.61870099        1.41796289
       -4.15990475       23.55830917       21.72166634        1.83664283
       -4.14321026        2.75924730        2.52041963        0.23882767
       -4.12651577        0.78973157        0.72236430        0.06736727
       -4.10982128        0.34972336        0.31801783        0.03170553
       -4.09312679        0.19447404        0.17684192        0.01763212
       -4.07643230        0.12363549        0.11295189        0.01068360
       -4.05973781        0.09945194        0.09075279        0.00869916
       -4.04304332        0.07183880        0.06557764        0.00626116
       -4.02634883        0.06697349        0.06123196        0.00574152
       -4.00965434        0.05715473        0.05230156        0.00485318
       -3.99295985        0.04352532        0.03983951        0.00368581
       -3.97626535        0.03153808        0.02887193        0.00266615
       -3.95957086        0.02320965        0.02131093        0.00189872
       -3.94287637        0.02617831        0.02407058        0.00210773
       -3.92618188        0.01955666        0.01805021        0.00150645
       -3.90948739        0.01796110        0.01666959        0.00129151
       -3.89279290        0.01764464        0.01642263        0.00122201
       -3.87609841        0.01431544        0.01334113        0.00097430
       -3.85940392        0.01339781        0.01253313        0.00086468
       -3.84270943        0.01089776        0.01022969        0.00066808
